structure_id,relative_cif_path,atom_count,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,pbc_x,pbc_y,pbc_z,count_C,count_H,count_O,unique_elements
L180_D7.2_U120,r180/t7.2/t7.2_120.cif,156,18.718882618592342,18.36255790781941,27.46185472640239,88.93461277499486,93.10562709284828,84.77667090234331,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U140,r180/t7.2/t7.2_140.cif,156,18.697964525983434,18.415265032451792,27.375152882647164,89.58877482309349,90.35137579796616,84.60011377025556,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U160,r180/t7.2/t7.2_160.cif,156,18.695584134610385,18.374023346152953,27.424286012834152,89.3273378098201,89.81477278407759,84.97597667632347,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U180,r180/t7.2/t7.2_180.cif,156,18.705699932107073,18.40360762586063,27.381382284686417,89.88526417895677,92.96200208799578,85.45528136184107,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U200,r180/t7.2/t7.2_200.cif,156,18.694567057354643,18.63281420738805,27.067455571332168,88.58451252285612,91.90395279999656,84.9956847408978,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U220,r180/t7.2/t7.2_220.cif,156,18.728669109864764,18.149158201932828,27.761921936834693,88.96116845456766,93.38624207846344,85.14553178524051,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U240,r180/t7.2/t7.2_240.cif,156,18.73247007499457,18.232625651584456,27.612399405457868,88.86291491284508,92.31011831832163,84.93476479843402,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U260,r180/t7.2/t7.2_260.cif,156,18.73940119966182,18.542547216787334,27.142975392875044,88.5061058212248,93.49612856501645,85.75587610819669,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U280,r180/t7.2/t7.2_280.cif,156,18.75950452699588,18.396994625163394,27.28804548546627,89.73436440619494,93.07218619408503,86.26038256213775,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U300,r180/t7.2/t7.2_300.cif,156,18.959471089871972,18.747899400519934,26.559866392500744,88.97086052814916,94.07954473336395,85.39552500486127,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U320,r180/t7.2/t7.2_320.cif,156,18.888971616035935,18.648333767275425,26.790638464021328,89.17768843282269,93.87787484859913,85.443741392115,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D7.2_U340,r180/t7.2/t7.2_340.cif,156,18.730289738157918,18.549283573834334,27.21413795506259,89.294409248973,94.955208482113,85.11735581777974,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U0,r180/t8.4/t8.4_0.cif,156,18.688675103157884,18.102406797518,27.89337586617274,89.97276290158298,92.93729620291016,84.69660562889743,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U20,r180/t8.4/t8.4_20.cif,156,18.717591328510846,17.945702867845757,28.118873145140785,89.6468328241321,93.08285240370404,84.2715604926569,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U40,r180/t8.4/t8.4_40.cif,156,18.686867659285742,18.055331137443577,27.988677534469115,89.55936547054489,92.91640203241178,84.30364281616325,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U60,r180/t8.4/t8.4_60.cif,156,18.73131822006279,17.972485091145852,28.079812415922458,90.30214212699327,93.72766823659695,84.14109017779803,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U80,r180/t8.4/t8.4_80.cif,156,18.741807048678535,18.065549012567963,27.878563678160475,89.98322582730974,93.7661660921518,85.06878611084316,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U100,r180/t8.4/t8.4_100.cif,156,18.745182481428916,18.058291939764516,27.89501036556527,90.40932854973907,93.75440136759929,84.81083621439205,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U120,r180/t8.4/t8.4_120.cif,156,18.730556064653673,18.641427601854392,27.08007557054221,91.91406718050467,94.35844455898935,84.65372904712763,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U140,r180/t8.4/t8.4_140.cif,156,18.71574071962718,18.695209790504887,26.9523723085357,89.53462309953586,91.46968967556495,84.51778929927669,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U160,r180/t8.4/t8.4_160.cif,156,18.734584697379006,18.55430863733023,27.137726012622927,89.65266299817378,93.2540080545683,85.1470034330256,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U180,r180/t8.4/t8.4_180.cif,156,18.740116114666044,18.544260658131883,27.164157097463168,89.80116628990768,94.32619710705208,85.49546022848203,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U200,r180/t8.4/t8.4_200.cif,156,18.70782679347049,18.60409677815853,27.142810124393606,88.82687483540707,93.9919405841247,84.93376173891089,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U220,r180/t8.4/t8.4_220.cif,156,18.74485483734469,18.305577531117752,27.54677500929076,88.35676680235919,94.47137458711198,85.14265550913588,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U240,r180/t8.4/t8.4_240.cif,156,18.755944090794532,18.513302038939397,27.175132318406597,88.59209170347901,93.03333866085678,85.04914691721089,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U260,r180/t8.4/t8.4_260.cif,156,18.75072021118251,18.793754058772887,26.83088401950284,87.49149581646138,94.49383417368888,85.39899989982169,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U280,r180/t8.4/t8.4_280.cif,156,18.80707754190215,18.662694175548694,26.904206433206788,87.36478850398302,93.68686727235142,85.61793008727022,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U300,r180/t8.4/t8.4_300.cif,156,18.932895639392974,18.976022037998998,26.464675185548284,88.66993748562889,97.9751699335286,85.67349796289388,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U320,r180/t8.4/t8.4_320.cif,156,18.824468508928415,18.715962854315393,27.115637181489667,89.6991974608795,99.61131141253153,85.15407069166741,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D8.4_U340,r180/t8.4/t8.4_340.cif,156,18.856487587747075,19.02631815411064,26.628500513042713,88.31264758124955,99.15854992436408,84.81290035207644,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U0,r180/t9.6/t9.6_0.cif,156,18.71271471435579,18.066500918610068,27.920149134803577,90.55780288286745,93.01894640851232,84.58209336707256,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U20,r180/t9.6/t9.6_20.cif,156,18.724371055152947,17.900152199924605,28.139242170999196,89.3568644523787,92.45721638341708,84.85818157868695,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U40,r180/t9.6/t9.6_40.cif,156,18.70264322484154,18.012259154792734,28.002729349226986,89.64123285006649,92.61092813295392,84.75719174570348,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U60,r180/t9.6/t9.6_60.cif,156,18.715380464029263,17.9031714370422,28.19746281080701,90.1483391679821,93.35759977675998,84.21920957028185,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U80,r180/t9.6/t9.6_80.cif,156,18.72673407268729,17.975545582753437,28.04322578528134,89.897073359421,93.96213677692027,85.17115362493035,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U100,r180/t9.6/t9.6_100.cif,156,18.769358671051005,18.122015837611933,27.737821880070996,91.13755145074296,93.45345556013741,85.2173963553905,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U120,r180/t9.6/t9.6_120.cif,156,18.746035056941043,18.368205443107968,27.414352509345747,89.42677755580137,93.50762947368955,84.9164787395586,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U140,r180/t9.6/t9.6_140.cif,156,18.721513112840473,18.617814885054788,27.0898685782646,89.93353543337766,93.74141771363855,84.84055944982454,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U160,r180/t9.6/t9.6_160.cif,156,18.720683696158847,18.42408448202177,27.37058658777249,89.75813097676955,94.13656322803568,85.30379757047794,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U180,r180/t9.6/t9.6_180.cif,156,18.734334685048545,18.68719146657099,27.03199152626322,89.52272495672804,95.63313172410288,85.20642059042564,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U200,r180/t9.6/t9.6_200.cif,156,18.721994323576627,18.71859240465233,27.0272138765612,88.85481414644345,95.15242442039754,84.35845015518437,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U220,r180/t9.6/t9.6_220.cif,156,18.758600915939247,18.548922013279874,27.212858958727466,88.63587145260404,95.21834362901534,84.66744345782148,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U240,r180/t9.6/t9.6_240.cif,156,18.76809132290061,18.739937800829576,26.91469410103902,87.94214063688662,95.230314579144,85.13224644097617,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U260,r180/t9.6/t9.6_260.cif,156,18.73788134132042,18.856033422750308,26.813822752240327,87.61511540343771,95.21068421756823,84.77940357994349,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U280,r180/t9.6/t9.6_280.cif,156,18.81202676407975,19.0224590621682,26.318079247507413,87.65039471857378,88.84421377778655,85.8310873566382,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U300,r180/t9.6/t9.6_300.cif,156,18.786677435055296,18.95334121702531,26.448377201930665,88.37549463685573,87.33500803053268,86.21319865279189,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U320,r180/t9.6/t9.6_320.cif,156,18.681297007547048,18.90350313812039,26.69655188476807,87.49914520177784,87.52683805628088,85.62478572154214,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L180_D9.6_U340,r180/t9.6/t9.6_340.cif,156,18.833280769391067,19.01267607882253,26.337460435445806,86.78310063217864,87.15930199126278,86.06584786157421,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U0,r200/t0/t0_0.cif,156,18.839377158957582,18.825395321777883,26.585844620858275,87.19508151782567,86.8582650537764,86.14547584098597,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U20,r200/t0/t0_20.cif,156,18.690153904061887,18.025708545647827,28.00245870413883,89.22427286938576,92.5411392055303,84.74353202205441,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U40,r200/t0/t0_40.cif,156,18.717312872808087,17.766055297110082,28.388225927780354,89.95220009901766,92.88037431834412,84.44994863613934,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U60,r200/t0/t0_60.cif,156,18.7560958853492,17.89559950697908,28.140392974908337,91.67228859612119,93.71800115808698,84.77441512419925,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U80,r200/t0/t0_80.cif,156,18.72561431536339,17.490266353890828,28.849820060738207,91.82274614934462,93.00344064174612,84.174960474797,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U100,r200/t0/t0_100.cif,156,18.7298254860391,17.914939342864457,28.14451526012275,91.99482060020098,93.00296115554274,84.54041345930534,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U120,r200/t0/t0_120.cif,156,18.7079581689921,17.924589252318146,28.1495105167071,90.01166592083139,93.19221128568152,84.6575300934147,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U140,r200/t0/t0_140.cif,156,18.746287992833153,18.301357199937236,27.506143436746004,89.8331265245028,92.9339551610418,84.6869826628894,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L200_D0_U160,r200/t0/t0_160.cif,156,18.704244616060457,18.42565106237105,27.43176620453282,89.78402390592997,94.38833856641219,84.58950761193572,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
