structure_id,relative_cif_path,atom_count,lower_atom_count,upper_atom_count,count_C,count_H,count_O,lower_count_C,lower_count_H,lower_count_O,upper_count_C,upper_count_H,upper_count_O,lower_centroid_x,lower_centroid_y,lower_centroid_z,upper_centroid_x,upper_centroid_y,upper_centroid_z,lower_com_x,lower_com_y,lower_com_z,upper_com_x,upper_com_y,upper_com_z,centroid_separation,com_separation,lower_intralayer_dist_count,lower_intralayer_dist_mean,lower_intralayer_dist_std,lower_intralayer_dist_min,lower_intralayer_dist_max,upper_intralayer_dist_count,upper_intralayer_dist_mean,upper_intralayer_dist_std,upper_intralayer_dist_min,upper_intralayer_dist_max,interlayer_dist_count,interlayer_dist_mean,interlayer_dist_std,interlayer_dist_min,interlayer_dist_max,nn_mean,nn_std,nn_min,nn_max,lower_nn_mean,lower_nn_std,lower_nn_min,lower_nn_max,upper_nn_mean,upper_nn_std,upper_nn_min,upper_nn_max
L0_D0_U0,r0/t0/t0_0.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.39658634565746,5.451754990029484,4.891518548625557,9.042279650625492,4.412226421489943,12.709464746262695,9.269714296745065,5.4767376062550905,4.8164495250936525,8.877279461019112,4.420774300456403,12.628835728338311,7.894709344117953,7.893189582933634,3003,7.194368545764235,3.86870338598656,0.9773087022553408,18.13944895991356,3003,7.195917002373133,3.8721144615054426,0.9773363122824079,17.9795261675966,6084,10.786388831394609,3.445958322259563,2.1780615604195077,20.9373439532063,1.1268821118171395,0.1486846075520067,0.9773087022553408,2.0036886484790184,1.1349919154686354,0.16634858264049457,0.9773087022553408,2.0036886484790184,1.1187723081656442,0.12810478628355546,0.9773363122824079,1.4472770243725925
L0_D0_U100,r0/t0/t0_100.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.330410328198308,5.5315463985769595,4.822830721531243,8.530459647556587,4.383863304433144,11.77122131249725,9.202048909402693,5.554024123143209,4.745894358544873,8.365487757909554,4.3048481978649535,11.77913747671173,7.087822612105047,7.192133467318565,3003,7.197188633807194,3.868513524441535,0.9774881942074639,18.136211074384562,3003,7.202549711901641,3.8761003545261614,0.9771556342051969,17.95969609982435,6084,10.263429890677456,3.2977724209060923,2.40422466282698,20.855748639172802,1.1269184863525419,0.14835111875575124,0.9771556342051969,1.9933574445947477,1.1350268375180754,0.16585517133081978,0.9774881942074639,1.9933574445947477,1.1188101351870083,0.12797140421884576,0.9771556342051969,1.4463706941464918
L0_D0_U120,r0/t0/t0_120.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.402065953096765,5.505155956337142,4.871328745613877,9.156821375540378,4.5706379351791115,11.844233646915074,9.275340244865228,5.527993440154992,4.7958922307453635,8.991892975007689,4.4960162767298755,11.876047401400383,7.039522114268849,7.160580734910657,3003,7.193505310432522,3.8669886309792623,0.9774812982133702,18.122137646789227,3003,7.20130290457284,3.8743469676294864,0.9770485583438384,18.003552273219775,6084,10.22103948692323,3.3186944469243738,2.1898267142767183,20.66744446920053,1.1268939914800695,0.1483112163250448,0.9770485583438384,1.9899925810401105,1.135063222722436,0.1655587629891022,0.9774812982133702,1.9899925810401105,1.1187247602377028,0.12825465720574916,0.9770485583438384,1.4442826032785496
L0_D0_U140,r0/t0/t0_140.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.49717151315671,5.529008238352197,4.887584291656414,9.367141958577337,4.541335980389426,12.631241157617623,9.372342619722497,5.549342711058354,4.811202899656738,9.200611190298488,4.480064697658333,12.681857727112657,7.807472435555669,7.944813060528729,3003,7.19750198320154,3.8683043271107294,0.9774823430117329,18.129410412049026,3003,7.19779788667247,3.8721381170928217,0.9779475307942069,17.99973777824322,6084,10.763932684683649,3.3200819938774915,1.9994308684760342,21.300113673257325,1.1269656033107505,0.14918755364537822,0.9774823430117329,2.013701285513989,1.1352513771439963,0.16717905076894934,0.9774823430117329,2.013701285513989,1.1186798294775047,0.12817062539188476,0.9779475307942069,1.4449396069293556
L0_D0_U160,r0/t0/t0_160.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.48799338262963,5.468873116428594,4.928083602510574,9.32292536304235,4.30529768049227,13.557865951628461,9.362836877383826,5.490323657737628,4.851469359769493,9.158473026050784,4.271838290708167,13.630927832600738,8.709437331960746,8.865966515251731,3003,7.199764209885755,3.8701442582477608,0.9775856744688507,18.1332485206025,3003,7.19545334341872,3.872426966665838,0.9776927365876512,17.997535813831544,6084,11.423375154719123,3.361088491531126,2.136447406989295,21.789999748442273,1.1268900955597143,0.14914748444676262,0.9775856744688507,2.0119135187988553,1.1351839308800489,0.1671615755169652,0.9775856744688507,2.0119135187988553,1.11859626023938,0.12809908858238955,0.9776927365876512,1.4454621065046056
L0_D0_U180,r0/t0/t0_180.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.506889098900619,5.375134306669819,4.927063200914419,9.520991941135568,4.260251722865158,14.099148049216454,9.383538612912075,5.400756461328304,4.85009339147887,9.354886339537227,4.24973107762956,14.179386617142145,9.239605106836645,9.400074067638778,3003,7.201564450231751,3.870897242177393,0.9776452246576579,18.1374946044201,3003,7.197737426583156,3.8705088286895335,0.9775508095828543,18.0025807586089,6084,11.830587392729415,3.371674880075775,2.491429547902267,22.00327252022981,1.1268106695161237,0.14865100294236533,0.9775508095828543,2.0002798587644426,1.134979152702166,0.1662783708697432,0.9776452246576579,2.0002798587644426,1.1186421863300815,0.12811048550889592,0.9775508095828543,1.4461420491714585
L0_D0_U20,r0/t0/t0_20.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.53402400674067,5.584222975398792,4.842734326016018,9.170807998642845,4.784536561699572,12.879034302731728,9.405638524598027,5.610517234906424,4.7680660736855955,9.009912658450055,4.7655597858264604,12.801658147571558,8.084153730883312,8.087592575142349,3003,7.1999979941469014,3.868345190513772,0.9774449181326994,18.148482121567053,3003,7.197859757033551,3.8779767675077657,0.9774861158734737,17.975676889145124,6084,10.935037240512287,3.4274970539638687,2.4501192111117542,21.004836189351373,1.1269565546018823,0.14918927699641787,0.9774449181326994,2.01577952703688,1.135293225793996,0.16731982512566876,0.9774449181326994,2.01577952703688,1.1186198834097687,0.12798420483877138,0.9774861158734737,1.4435048500649352
L0_D0_U200,r0/t0/t0_200.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.527788922821145,5.416846863112127,4.9427383442329935,9.539483775250142,3.9871128417713977,14.411245101184223,9.403696404889908,5.440041670058439,4.864768527215912,9.375769068360627,4.007014377803139,14.488874350776708,9.575849641038833,9.730249742918781,3003,7.200381426681958,3.8720887516471953,0.9774488390652326,18.135674806341623,3003,7.207008923155847,3.881949501566804,0.977287199098715,18.032161718097964,6084,12.103960151922088,3.3552309723088243,2.1159807139303077,22.160219248047724,1.1267858533049566,0.14857452334825924,0.977287199098715,1.9976446949537061,1.134916736961929,0.16616463510530471,0.9774488390652326,1.9976446949537061,1.1186549696479837,0.12808539916227507,0.977287199098715,1.4460107768506074
L0_D0_U220,r0/t0/t0_220.cif,156,78,78,48,72,36,24,36,18,24,36,18,9.948458794767918,5.705005317620717,4.73642657097865,11.386204611200212,4.107091572378586,12.992067305955215,9.821027654371758,5.728366776003043,4.65850991082223,11.219919897204797,4.160192946310676,13.055616966223008,8.530887721386721,8.65606582501843,3003,7.212983347648704,3.880359507264855,0.9774594282554716,18.151531455489735,3003,7.201726244285394,3.8792083489041853,0.9774532960883918,18.01351707758314,6084,11.286611444487821,3.3953214843504815,2.308404723657908,21.618739191931642,1.126842548188318,0.14909638826001928,0.9774532960883918,2.0119108049262717,1.134985968257414,0.16698252073702752,0.9774594282554716,2.0119108049262717,1.1186991281192225,0.12823288646766676,0.9774532960883918,1.4462964731848826
L0_D0_U240,r0/t0/t0_240.cif,156,78,78,48,72,36,24,36,18,24,36,18,10.163802631882914,6.098363690471851,4.666575810956994,12.067246477286595,5.131173626148515,11.608192700412609,10.036829944296528,6.11932959296301,4.5900021103339785,12.11154968584822,5.205541854044861,11.65238435449929,7.262547771485319,7.417325191771149,3003,7.232690741089049,3.9002345439032653,0.9770917471922266,18.188635168652038,3003,7.257726278207041,3.9290599453610344,0.9774588207529142,19.463711852724927,6084,10.355012571688214,3.5308254942984565,2.1660564702678613,21.469469079177138,1.1392725904496415,0.19509287739581072,0.9770917471922266,2.671495559986069,1.135139296419866,0.16789629061787087,0.9770917471922266,2.0209045607631095,1.143405884479417,0.2188586963747156,0.9774588207529142,2.671495559986069
