structure_id,relative_cif_path,node_count,edge_count,intralayer_edge_count,interlayer_edge_count,distance_cutoff,has_edges,edge_distance_mean,edge_distance_std,edge_distance_min,edge_distance_max,energy,delta_energy,lower_rotation,displacement,upper_rotation,graph_file
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,156,3566,3450,116,4.5,True,3.058903984915297,0.9049726218840912,0.9775139278787988,4.498159825931642,-936.11071,0.5290899999999965,0.0,1.2,180.0,L0_D1.2_U180.pkl
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,156,3586,3466,120,4.5,True,3.0569883512135743,0.9018414566672857,0.9775466625795591,4.497975741589374,-936.25036,0.389440000000036,0.0,1.2,20.0,L0_D1.2_U20.pkl
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,156,3544,3448,96,4.5,True,3.054119584918012,0.9053936821164401,0.9774547038198574,4.499560177469034,-936.06971,0.5700900000000502,0.0,1.2,200.0,L0_D1.2_U200.pkl
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,156,3562,3438,124,4.5,True,3.0596610297227147,0.9056711296636488,0.977259218211739,4.494351304036569,-936.23999,0.3998100000000022,0.0,1.2,220.0,L0_D1.2_U220.pkl
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,156,3776,3432,344,4.5,True,3.0963513015146686,0.9015845245796428,0.9769287063863532,4.497929471423461,-936.6503,-0.010499999999979,0.0,1.2,240.0,L0_D1.2_U240.pkl
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,156,3880,3438,442,4.5,True,3.1195176026098217,0.9068546483168493,0.9770177220370376,4.498542376468612,-936.69374,-0.0539400000000114,0.0,1.2,260.0,L0_D1.2_U260.pkl
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,156,3640,3458,182,4.5,True,3.084082321650001,0.9126560874177413,0.9773582710055695,4.49270121612341,-936.19382,0.4459800000000768,0.0,1.2,280.0,L0_D1.2_U280.pkl
L0_D1.2_U300,r0/t1.2/t1.2_300.cif,156,3668,3458,210,4.5,True,3.0873628006074068,0.9097483210687142,0.9772182261124369,4.499420098078311,-936.17977,0.4600300000000743,0.0,1.2,300.0,L0_D1.2_U300.pkl
L0_D1.2_U320,r0/t1.2/t1.2_320.cif,156,3758,3474,284,4.5,True,3.0944065949526305,0.9035018048644942,0.9772972171213966,4.497800558767131,-936.34643,0.2933699999999817,0.0,1.2,320.0,L0_D1.2_U320.pkl
L0_D1.2_U340,r0/t1.2/t1.2_340.cif,156,3702,3462,240,4.5,True,3.0859908017948636,0.9066720884981736,0.9773144201059815,4.495513175893076,-936.41266,0.2271400000000767,0.0,1.2,340.0,L0_D1.2_U340.pkl
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,156,3564,3456,108,4.5,True,3.0533551254566125,0.9035214469447395,0.9773939321498968,4.499820220578379,-936.11296,0.5268399999999929,0.0,1.2,40.0,L0_D1.2_U40.pkl
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,156,3582,3454,128,4.5,True,3.054829144401146,0.9010836664065922,0.9773112070992042,4.499603071465997,-936.08813,0.5516700000000583,0.0,1.2,60.0,L0_D1.2_U60.pkl
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,156,3582,3466,116,4.5,True,3.0598325614658997,0.9009215132376066,0.9774863973046642,4.499201345472426,-936.0313,0.6085000000000491,0.0,1.2,80.0,L0_D1.2_U80.pkl
L0_D2.4_U0,r0/t2.4/t2.4_0.cif,156,3620,3472,148,4.5,True,3.061682862032336,0.9034240248260944,0.9773760024951446,4.497662249992489,-936.1618,0.4780000000000655,0.0,2.4,0.0,L0_D2.4_U0.pkl
L0_D2.4_U100,r0/t2.4/t2.4_100.cif,156,3660,3470,190,4.5,True,3.0707239937077455,0.9099604366509575,0.9767113178837187,4.499691133389214,-936.19031,0.4494900000000825,0.0,2.4,100.0,L0_D2.4_U100.pkl
L0_D2.4_U120,r0/t2.4/t2.4_120.cif,156,3716,3456,260,4.5,True,3.081175187493369,0.9092518679999215,0.9765229750681684,4.499434182654909,-936.34145,0.2983500000000276,0.0,2.4,120.0,L0_D2.4_U120.pkl
L0_D2.4_U140,r0/t2.4/t2.4_140.cif,156,3714,3468,246,4.5,True,3.081577482362705,0.9047424474974191,0.9772273521430459,4.496156532907621,-936.35828,0.2815200000000004,0.0,2.4,140.0,L0_D2.4_U140.pkl
L0_D2.4_U160,r0/t2.4/t2.4_160.cif,156,3628,3482,146,4.5,True,3.0674343263847157,0.9073785493692489,0.9771972988021683,4.498314626103255,-936.2028,0.4370000000000118,0.0,2.4,160.0,L0_D2.4_U160.pkl
L0_D2.4_U180,r0/t2.4/t2.4_180.cif,156,3568,3474,94,4.5,True,3.0549224065427873,0.9082419268805453,0.9773080176141378,4.499001704644935,-936.16018,0.4796200000000681,0.0,2.4,180.0,L0_D2.4_U180.pkl
L0_D2.4_U20,r0/t2.4/t2.4_20.cif,156,3602,3464,138,4.5,True,3.0567113355611197,0.9026526470278332,0.9774660894668782,4.499456569311419,-936.14758,0.4922200000000885,0.0,2.4,20.0,L0_D2.4_U20.pkl
L0_D2.4_U200,r0/t2.4/t2.4_200.cif,156,3554,3470,84,4.5,True,3.05201016854276,0.9089301034644458,0.9773397968833752,4.497850900990045,-936.19332,0.446480000000065,0.0,2.4,200.0,L0_D2.4_U200.pkl
L0_D2.4_U220,r0/t2.4/t2.4_220.cif,156,3684,3464,220,4.5,True,3.0865102538167593,0.9107558800263449,0.9772728428924423,4.498865836045888,-936.5844,0.0554000000000769,0.0,2.4,220.0,L0_D2.4_U220.pkl
L0_D2.4_U240,r0/t2.4/t2.4_240.cif,156,3810,3478,332,4.5,True,3.0914092750547204,0.9018527431215742,0.9769817719886634,4.496354427904119,-936.72376,-0.0839599999999336,0.0,2.4,240.0,L0_D2.4_U240.pkl
L0_D2.4_U260,r0/t2.4/t2.4_260.cif,156,3852,3452,400,4.5,True,3.1040961720539175,0.904421502892347,0.9773514804434569,4.499849019335837,-936.78495,-0.1451499999999441,0.0,2.4,260.0,L0_D2.4_U260.pkl
L0_D2.4_U280,r0/t2.4/t2.4_280.cif,156,3656,3464,192,4.5,True,3.0759943395983878,0.9072800310985947,0.977286846359592,4.498998862022182,-936.28552,0.354280000000017,0.0,2.4,280.0,L0_D2.4_U280.pkl
L0_D2.4_U300,r0/t2.4/t2.4_300.cif,156,3682,3462,220,4.5,True,3.090110643441419,0.910786318203078,0.9774367274327699,4.498942151378639,-936.18405,0.45575000000008,0.0,2.4,300.0,L0_D2.4_U300.pkl
L0_D2.4_U320,r0/t2.4/t2.4_320.cif,156,3734,3480,254,4.5,True,3.094748678581515,0.9076025378016871,0.9775674226082212,4.495391801746646,-936.21098,0.428820000000087,0.0,2.4,320.0,L0_D2.4_U320.pkl
L0_D2.4_U340,r0/t2.4/t2.4_340.cif,156,3626,3474,152,4.5,True,3.0706396485750878,0.9082293519622169,0.9775382676627962,4.493923141979627,-936.10567,0.5341300000000047,0.0,2.4,340.0,L0_D2.4_U340.pkl
