atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.15143999999999996,0.23408000000000004,0.1774,2.9438110912827966,4.251981514212731,4.961026048622221,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
1,C2,C,6,0.17639,0.28865,0.21499000000000004,3.4415164555855293,5.242094530842182,6.012237825215848,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
2,C3,C,6,0.13018,0.26574,0.25544,2.48741937117768,4.843317695735751,7.143430066854905,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
3,C4,C,6,0.0788,0.26705,0.15621,1.6634482561515513,4.836991864503144,4.368443512149251,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
4,C5,C,6,0.025709999999999997,0.28502,0.19666,0.6422146126437628,5.171474657334931,5.499635753788309,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
5,C6,C,6,0.13875,0.18126,0.25285,2.5240348074365264,3.3272317148299355,7.071000205152924,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
6,C7,C,6,0.28931,0.32818,0.20172000000000007,5.631566392111838,5.947151131101402,5.641139653484074,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
7,C8,C,6,0.37055000000000005,0.31544,0.21325000000000005,7.1164458198780185,5.722100579299104,5.96357838144695,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
8,C9,C,6,0.40879,0.36172,0.17737,7.950415163205626,6.541435778421869,4.960187092695171,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
9,C10,C,6,0.38554,0.34824,0.12503,7.566500394938231,6.283916086304674,3.4964886519686376,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
10,C11,C,6,0.30417,0.36664,0.12091,6.077614765746793,6.612716418385409,3.381272037987107,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
11,C12,C,6,0.26662,0.36024,0.07198000000000003,5.432201481905539,6.483214692694591,2.0129349209685885,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
12,C13,C,6,0.9423899999999998,0.30681,0.4585300000000001,17.466747353910122,5.641023143402078,12.822882041007595,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
13,C14,C,6,0.96702,0.29083,0.4081700000000001,17.972074371489448,5.339256333256923,11.41455469146636,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
14,C15,C,6,0.9090299999999999,0.34136,0.38043000000000005,17.001147481698116,6.237269711083075,10.63880011092081,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
15,C16,C,6,0.87912,0.25993,0.4657400000000001,16.202703927628388,4.802309173363215,13.024511115475274,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
16,C17,C,6,0.8199,0.2769,0.42509,15.175816668622586,5.094480835987985,11.887725834322548,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
17,C18,C,6,0.9052,0.41132,0.41043,16.993979877760626,7.5011501595943635,11.47775603797079,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
18,C19,C,6,0.08773000000000007,0.24749999999999994,0.4067800000000001,1.4595673072477937,4.56163359247442,11.375683066846378,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
19,C20,C,6,0.16513,0.26781,0.4014800000000001,2.945324543016961,4.924338720271601,11.227467519734216,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
20,C21,C,6,0.21595000000000006,0.19897,0.41669,3.7716199491691906,3.6941352447133093,11.652818174748553,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
21,C22,C,6,0.20134000000000005,0.16803,0.46617,3.384272844821399,3.1540391954727256,13.036536150429654,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
22,C23,C,6,0.1230199999999999,0.1494,0.46366,1.8944791182396954,2.8191207635926085,12.96634350453314,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
23,C24,C,6,0.09563000000000009,0.1157,0.5086,1.2700832647478033,2.2281544501637542,14.223099483254014,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
24,C25,C,6,0.65119,0.23594,0.17675000000000005,12.296471487153939,4.285148755147151,4.942848670202806,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
25,C26,C,6,0.6762999999999999,0.29051,0.21444,12.79703373309321,5.275291826339924,5.996856966553264,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
26,C27,C,6,0.62994,0.2676,0.25488,11.84014418232171,4.876511985777161,7.127769556216639,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
27,C28,C,6,0.57868,0.269,0.15556000000000003,11.018676150676338,4.871773424579307,4.350266133729836,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
28,C29,C,6,0.52545,0.28697,0.19601,9.99482348516855,5.206256217411094,5.481458375368892,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
29,C30,C,6,0.63851,0.18312,0.25229,11.876759618580554,3.360426004871346,7.055339694514657,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
30,C31,C,6,0.7891099999999999,0.32995,0.20125,14.984781287875107,5.9787581511080585,5.627996010626957,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
31,C32,C,6,0.8703399999999999,0.31712,0.2127,16.469447122078407,5.752069236513361,5.9481975227843655,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
32,C33,C,6,0.90855,0.36367,0.1769,17.303152866276186,6.576271436712012,4.947043449838055,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
33,C34,C,6,0.88528,0.35028,0.12447,16.919122159389552,6.32033901462957,3.480828141330371,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
34,C35,C,6,0.80394,0.36859,0.12045000000000003,15.430525913181008,6.647555082131883,3.3684080471056745,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
35,C36,C,6,0.76638,0.36219,0.07152,14.784925556339752,6.518053356441066,2.000070930087155,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
36,C37,C,6,0.44238,0.30673,0.45893,8.112244646875274,5.639708411307151,12.834068120034926,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
37,C38,C,6,0.4670000000000001,0.29068,0.4085200000000001,8.61734730712794,5.336670992325646,11.424342510615277,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
38,C39,C,6,0.40901999999999966,0.34128,0.38083,7.646644774663261,6.235954978988148,10.649986189948143,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
39,C40,C,6,0.3792500000000001,0.25986,0.46613,6.850848932302512,4.801170804605483,13.035417542526922,L180_D4.8_U320,r180/t4.8/t4.8_320.cif
