atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.14811909770678575,0.2729110160227415,0.21727606296412982,2.880916850851924,5.136715831521034,5.906360309351977,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
1,C2,C,6,0.17039053129662263,0.34886990531005746,0.20463967796541452,3.405810085652378,6.529453852957191,5.562857017770225,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
2,C3,C,6,0.1178132634033921,0.3920296730496364,0.23673099030071898,2.4395075514447875,7.340657131947586,6.435216590502134,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
3,C4,C,6,0.07960334615138479,0.2621249582227769,0.186708099679934,1.616253442585951,4.922590427627266,5.0754109511186725,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
4,C5,C,6,0.021847139769783402,0.324534410857483,0.1962414688539061,0.6008600765967355,6.076960854638371,5.334562891444673,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
5,C6,C,6,0.12344920008468122,0.34753326455564426,0.2843330481844055,2.439114512372689,6.545117037092421,7.729215117040686,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
6,C7,C,6,0.2863506880303832,0.3495217303277816,0.1770330626557273,5.609366817687542,6.52750554203733,4.812407959018621,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
7,C8,C,6,0.3653279252820936,0.3592044815872667,0.1906035065520492,7.086920228192485,6.712716664883404,5.181302397347779,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
8,C9,C,6,0.40902848434075606,0.3364887515942421,0.1459003097317371,7.925661846523335,6.271707466887147,3.9661055468588686,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
9,C10,C,6,0.3936959911031396,0.260825312335038,0.1268649085849536,7.565084017999706,4.8684020171811735,3.44865352627197,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
10,C11,C,6,0.3130594722306457,0.26256473486704274,0.11498441531801612,6.0687567931109445,4.894435968087864,3.125698144394734,L120_D9.6_U260,r120/t9.6/t9.6_260.cif
