atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.15149152953873626,0.24164422027371038,0.17931513362408275,2.8875095993266955,4.545986117121813,4.938200966712807,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
1,C2,C,6,0.1807374603030022,0.2678609441697449,0.2284171941008706,3.3825309257945655,5.06391659157284,6.29043397467739,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
2,C3,C,6,0.1372167704566603,0.22235047496941565,0.2606503872235186,2.428489854498755,4.262780598073438,7.17811134033797,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
3,C4,C,6,0.0780473938500293,0.2845558990264554,0.1678611865980052,1.6059116524481456,5.317167229992439,4.622768068587041,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
4,C5,C,6,0.02860526539548549,0.2758538103425432,0.21044261911712436,0.5819250255640113,5.194349688112967,5.795427994049626,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
5,C6,C,6,0.14300982469003884,0.14786013936183612,0.2372371397979398,2.458954538680024,2.8879844836288315,6.533328500573512,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
6,C7,C,6,0.2934570757946853,0.3117709373237154,0.22575029670533098,5.571878309550114,5.860588294260565,6.216989670057866,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
7,C8,C,6,0.37506017294409916,0.29350758854459014,0.23457548535057718,7.052455323836925,5.535665236405382,6.460028582717297,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
8,C9,C,6,0.41261445968181726,0.35561269192806483,0.2110519727147946,7.905284639199671,6.645985734152856,5.812209123808553,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
9,C10,C,6,0.38546158617095755,0.3734312796376539,0.1578994401733972,7.53069068811189,6.9258532664883425,4.348429228189577,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
10,C11,C,6,0.3041989202879617,0.39273953389882454,0.15751188540601005,6.041674554633846,7.276823219355308,4.337756267752353,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
11,C12,C,6,0.26452814974248146,0.4137751439745108,0.1083723590073359,5.430122720648259,7.618567403256491,2.9844914770935915,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
12,C13,C,6,0.8844457286489349,0.24761508765398943,0.4811777744832082,16.032182552558115,4.906336133246113,13.251266098348816,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
13,C14,C,6,0.9030760457334182,0.30805303984329235,0.4463075246723666,16.550085464490024,5.976862802271701,12.290966218214837,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
14,C15,C,6,0.8479339818886779,0.3692657015456512,0.46088915063836955,15.590630253097425,7.102721288861445,12.692532990557188,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
15,C16,C,6,0.8173826049921308,0.21678352748207733,0.4581335630497342,14.770108639119245,4.326172678932791,12.616646226182977,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
16,C17,C,6,0.7562592891236142,0.2800782426135481,0.44729737812852616,13.751966718797616,5.46871657187244,12.318226021642017,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
17,C18,C,6,0.8548343323051828,0.3611278920223259,0.5159256646653465,15.598343814831505,7.000556216757521,14.20819628834824,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
18,C19,C,6,0.01980922755493229,0.2892279963003578,0.42203052403769636,0.02433560109762865,5.614117137890952,11.622396278912653,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
19,C20,C,6,0.09815496519098561,0.3064392657431416,0.43162812836145825,1.5014277293575105,5.935261083713133,11.886706925715544,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
20,C21,C,6,0.14392575993686166,0.25513630643127555,0.40017065638226673,2.3349751406934787,4.975626692803066,11.020392324162463,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
21,C22,C,6,0.1327562031135293,0.17364239205182083,0.40823146539651445,1.974356053296225,3.49965342550136,11.242380809250927,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
22,C23,C,6,0.05263739327066021,0.1668828635207915,0.39623743035071657,0.48615218762563456,3.3666694466306133,10.912074302148662,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
23,C24,C,6,0.027779894009786487,0.09014656922638971,0.40088701357470197,-0.11620840112243679,1.9744114664782442,11.040120250683218,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
24,C25,C,6,0.6496014514023111,0.23897488059663627,0.1782550531037492,12.21387942662267,4.496536346906467,4.9090071639115385,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
25,C26,C,6,0.6806139235749858,0.2651301342383822,0.22684168763383694,12.742893912092297,5.012918633474753,6.247045737436475,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
26,C27,C,6,0.6371245468229207,0.22097101445250264,0.2599648862376001,11.78994204194746,4.237111159077777,7.159233170030038,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
27,C28,C,6,0.5768460339284197,0.2836867595488901,0.16748378120975677,10.946836450139966,5.3010394528605165,4.612374614250955,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
28,C29,C,6,0.5282786952868496,0.2758246143000626,0.21062029583809724,9.939541900174115,5.193966657816077,5.800321074391133,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
29,C30,C,6,0.6409069917627765,0.14617977033327434,0.2368692385613609,11.781627659341689,2.8571051739454805,6.523196783269956,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
30,C31,C,6,0.7931535468589399,0.3084477733511842,0.22345299659023407,14.929300665135278,5.798211197717121,6.153723790486409,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
31,C32,C,6,0.8748389229991722,0.2910027394568731,0.23292856237695608,16.411504456073196,5.488718842632061,6.41467358977238,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
32,C33,C,6,0.9119563226207493,0.35402808646506956,0.2101079541905188,17.256304042447805,6.616368329370575,5.786211579178849,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
33,C34,C,6,0.8853945559590589,0.3719828592871232,0.15684734257305638,16.893219166073177,6.89862348010988,4.319455268869606,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
34,C35,C,6,0.8039513800098729,0.3905675182750762,0.1561327361082185,15.400259858612417,7.236155666467531,4.299775556041355,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
35,C36,C,6,0.7642536843616663,0.4128997245186993,0.1072395310123525,14.789878243725987,7.6016954387482,2.953294264750801,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
36,C37,C,6,0.38448690969012517,0.2485811102012889,0.4814244186128269,6.669947389919676,4.924117555804817,13.258058488119278,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
37,C38,C,6,0.4030322733191641,0.3090514187804269,0.44652559756447,7.186369170950912,5.9952090899789905,12.296971778062655,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
38,C39,C,6,0.3479188952920796,0.37021491479543556,0.461129636014435,6.227325405035829,7.120191748505546,12.699155772988126,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
39,C40,C,6,0.3175575405798723,0.21768690837507904,0.4581960468000544,5.410635523071639,4.342660836111834,12.618366980644684,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
40,C41,C,6,0.2563421083909143,0.2809044953917078,0.4474314346173332,4.390499653714363,5.483861148022191,12.321917834314165,L200_D3.6_U260,r200/t3.6/t3.6_260.cif
