atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.14096704342704436,0.3546157377275737,0.19965749005089076,2.9761318265740004,6.651969454426896,5.409486695188627,L320_D6_U40,r320/t6.0/t6.0_40.cif
1,C2,C,6,0.1751259064386087,0.27713455584183494,0.19320811582136121,3.4739757945070684,5.2173668273641995,5.234748426776859,L320_D6_U40,r320/t6.0/t6.0_40.cif
2,C3,C,6,0.12249606230560164,0.2556158599606098,0.15172546758381683,2.5221470372762487,4.798855490133873,4.110824482501145,L320_D6_U40,r320/t6.0/t6.0_40.cif
3,C4,C,6,0.07628877346415618,0.34952524122054107,0.23029314421575203,1.6958823115867345,6.573430930083724,6.239523993368505,L320_D6_U40,r320/t6.0/t6.0_40.cif
4,C5,C,6,0.024887970550989805,0.29751580856448406,0.20557169930044053,0.6747751474716764,5.600132895046671,5.569725292998538,L320_D6_U40,r320/t6.0/t6.0_40.cif
5,C6,C,6,0.1142669308001301,0.32210968622544073,0.1179205992247282,2.5640414871763593,6.010117777040948,3.194921024161155,L320_D6_U40,r320/t6.0/t6.0_40.cif
6,C7,C,6,0.2966810440580687,0.26045388328496216,0.21983371197148985,5.669650445501629,4.922689644475578,5.95613788273403,L320_D6_U40,r320/t6.0/t6.0_40.cif
7,C8,C,6,0.37412976547618515,0.25815257328009755,0.20433621838640323,7.146159668190048,4.8723356767481665,5.536251379423141,L320_D6_U40,r320/t6.0/t6.0_40.cif
8,C9,C,6,0.4244648095350753,0.2601453663360743,0.2514434744738861,8.00543122182229,4.932983312325313,6.812567509547432,L320_D6_U40,r320/t6.0/t6.0_40.cif
9,C10,C,6,0.40168246908588034,0.32344673903032956,0.2849499873597412,7.641796550149594,6.1193265032138395,7.720387374517185,L320_D6_U40,r320/t6.0/t6.0_40.cif
10,C11,C,6,0.3256490718796254,0.3122460697926914,0.298445072636388,6.168625775987563,5.919240113857212,8.086020961495812,L320_D6_U40,r320/t6.0/t6.0_40.cif
11,C12,C,6,0.2907388289492175,0.36513706584258065,0.33435679558220127,5.552319582445409,6.914485349685013,9.059007186190719,L320_D6_U40,r320/t6.0/t6.0_40.cif
12,C13,C,6,0.006317191188496194,0.26395585249167147,0.4542527610201155,-0.20703893378748794,5.105987628137698,12.307448452671014,L320_D6_U40,r320/t6.0/t6.0_40.cif
13,C14,C,6,0.0438283668233519,0.18686312671514732,0.460571404622553,0.330471035639802,3.6850211025632142,12.478644727302695,L320_D6_U40,r320/t6.0/t6.0_40.cif
14,C15,C,6,0.9931937144768972,0.1494283246792395,0.4251095048091494,18.121152862941074,2.9755316484672942,11.51784593544258,L320_D6_U40,r320/t6.0/t6.0_40.cif
15,C16,C,6,0.9414333841268656,0.26832822528492956,0.48561325930725874,17.27456397189695,5.20262704960813,13.15712455646029,L320_D6_U40,r320/t6.0/t6.0_40.cif
16,C17,C,6,0.8925328504293195,0.20826478605565635,0.4707159455088561,16.2658191838368,4.085514803754483,12.75349922406746,L320_D6_U40,r320/t6.0/t6.0_40.cif
17,C18,C,6,0.9824905020117154,0.20177135887643077,0.38127364973583816,18.107236939426187,3.920305735871166,10.330164598114077,L320_D6_U40,r320/t6.0/t6.0_40.cif
18,C19,C,6,0.16457558680937304,0.18024732219221504,0.48841561515462373,2.5288043348076914,3.5768926427086454,13.233051117831172,L320_D6_U40,r320/t6.0/t6.0_40.cif
19,C20,C,6,0.2427024460558531,0.1753598368806309,0.47391343890225623,4.010996941929293,3.479266850551052,12.840131576127694,L320_D6_U40,r320/t6.0/t6.0_40.cif
20,C21,C,6,0.2902118735405107,0.18867411017828914,0.5208750022512735,4.8401676535614175,3.7489868140593146,14.112500331524824,L320_D6_U40,r320/t6.0/t6.0_40.cif
21,C22,C,6,0.26471215663588055,0.2587301114058675,0.5470138853969411,4.45289667988517,5.056383179034863,14.820702866613983,L320_D6_U40,r320/t6.0/t6.0_40.cif
22,C23,C,6,0.1870419224734575,0.25278170971023495,0.5589594387523932,2.962430931229293,4.9525399513487836,15.144353694471796,L320_D6_U40,r320/t6.0/t6.0_40.cif
23,C24,C,6,0.1490294087920527,0.31542962986706696,0.5860520595874473,2.3239895037353286,6.123566542276906,15.878396639255183,L320_D6_U40,r320/t6.0/t6.0_40.cif
24,C25,C,6,0.6398807719014906,0.35586899998870264,0.19850381910587353,12.334520673114271,6.674537746251631,5.37822932725264,L320_D6_U40,r320/t6.0/t6.0_40.cif
25,C26,C,6,0.6745554753253646,0.27869248740002517,0.1915465014117585,12.843597071887887,5.245306396859153,5.1897289234314625,L320_D6_U40,r320/t6.0/t6.0_40.cif
26,C27,C,6,0.6218228215561292,0.25727305524321453,0.15007892818755492,11.890010692118324,4.828636423666873,4.066213419049869,L320_D6_U40,r320/t6.0/t6.0_40.cif
27,C28,C,6,0.5757184940383553,0.34971109757154256,0.22949518385966258,11.061146728608223,6.576460596087994,6.217904188729802,L320_D6_U40,r320/t6.0/t6.0_40.cif
28,C29,C,6,0.5245570363804691,0.2974611418965893,0.20473609078207203,10.044117345283041,5.598700239025649,5.54708545533781,L320_D6_U40,r320/t6.0/t6.0_40.cif
29,C30,C,6,0.6124742948605303,0.3242377188031801,0.116681105479394,11.911094628786868,6.048802613815184,3.161338387604691,L320_D6_U40,r320/t6.0/t6.0_40.cif
30,C31,C,6,0.7959496451617795,0.2629812579302246,0.218661664508937,15.037270483544477,4.968785804815472,5.924382624500577,L320_D6_U40,r320/t6.0/t6.0_40.cif
31,C32,C,6,0.8738022213547022,0.25986679587590666,0.20379698162016874,16.5185404911161,4.903730339561315,5.521641388524435,L320_D6_U40,r320/t6.0/t6.0_40.cif
32,C33,C,6,0.923416411465337,0.2615681847375838,0.2513862141078766,17.362811192370312,4.959238610707311,6.81101610675252,L320_D6_U40,r320/t6.0/t6.0_40.cif
33,C34,C,6,0.9005260322112705,0.3248919750310967,0.28479990189943083,16.997369928678186,6.145948965460969,7.716320984117891,L320_D6_U40,r320/t6.0/t6.0_40.cif
34,C35,C,6,0.8240493247688537,0.31438342732692337,0.2974480910553028,15.51885877187966,5.958219913616939,8.059008909021077,L320_D6_U40,r320/t6.0/t6.0_40.cif
35,C36,C,6,0.7891163790400756,0.3667657599178403,0.33365694171650784,14.900553943379858,6.944218746846611,9.040045462420276,L320_D6_U40,r320/t6.0/t6.0_40.cif
36,C37,C,6,0.5070646972556899,0.2646163406506628,0.4539469324746567,9.182955571593189,5.118034344377547,12.299162385129813,L320_D6_U40,r320/t6.0/t6.0_40.cif
37,C38,C,6,0.5432875548575326,0.18707929718396482,0.4609046510446976,9.694225717441576,3.68918310910552,12.487673650216385,L320_D6_U40,r320/t6.0/t6.0_40.cif
38,C39,C,6,0.4926048399210867,0.1501623370189279,0.42517457109037876,8.737368022690868,2.989124260007248,11.519608830400971,L320_D6_U40,r320/t6.0/t6.0_40.cif
39,C40,C,6,0.4414375903831762,0.27073864354468763,0.48462662903814896,7.907218412497461,5.24665644201854,13.13039296070368,L320_D6_U40,r320/t6.0/t6.0_40.cif
40,C41,C,6,0.3920023682106069,0.21077680894128697,0.47021121646775793,6.88774773435613,4.13166499618605,12.739824179711249,L320_D6_U40,r320/t6.0/t6.0_40.cif
41,C42,C,6,0.48404825485195613,0.20193442767631603,0.38105693899371507,8.76308643439959,3.923208523065253,10.32429307345492,L320_D6_U40,r320/t6.0/t6.0_40.cif
42,C43,C,6,0.6642583569046514,0.1796123460113352,0.48871064663556085,11.895123349994108,3.5653117562179926,13.241044651509194,L320_D6_U40,r320/t6.0/t6.0_40.cif
43,C44,C,6,0.7423588503775695,0.17435640107954403,0.47409980963586257,13.37628999805615,3.4608242912372686,12.845181073662493,L320_D6_U40,r320/t6.0/t6.0_40.cif
44,C45,C,6,0.7899196252648922,0.18755753126346902,0.5210433436728457,14.206231345751334,3.728444996698732,14.117061345890034,L320_D6_U40,r320/t6.0/t6.0_40.cif
45,C46,C,6,0.7650184894164461,0.2581105226225022,0.5468966924854785,13.831710615324996,5.044877984115368,14.817527661440533,L320_D6_U40,r320/t6.0/t6.0_40.cif
46,C47,C,6,0.6872143628554952,0.2526762417461231,0.5588460991513298,12.339753730303602,4.950534256858545,15.141282890246849,L320_D6_U40,r320/t6.0/t6.0_40.cif
47,C48,C,6,0.6493939289067184,0.3155592823582623,0.585822977007312,11.705600007128435,6.125845757644662,15.872189914082862,L320_D6_U40,r320/t6.0/t6.0_40.cif
48,H49,H,1,0.17804207430093216,0.39040502975230834,0.21649844393796594,3.711064610781871,7.321639468627924,5.865772687580887,L320_D6_U40,r320/t6.0/t6.0_40.cif
49,H50,H,1,0.1727330110128378,0.24367183921186913,0.22655081088181214,3.299744554486138,4.616067044583071,6.138129838940595,L320_D6_U40,r320/t6.0/t6.0_40.cif
50,H51,H,1,0.14024668563774453,0.20494158652026812,0.1337436436296808,2.787521391255324,3.8536322868317594,3.6236279470226656,L320_D6_U40,r320/t6.0/t6.0_40.cif
51,H52,H,1,0.04471474846812731,0.4029512915117491,0.23173390412804562,1.2078770765576143,7.561119778378827,6.278559701843688,L320_D6_U40,r320/t6.0/t6.0_40.cif
52,H53,H,1,0.4794577748649498,0.3303206334766348,0.18448013401989555,9.302195791797851,6.195477674584571,4.998273945309409,L320_D6_U40,r320/t6.0/t6.0_40.cif
53,H54,H,1,0.0631269778413146,0.32798093907467163,0.0951442501033313,1.6597212503122278,6.107055942757326,2.5778224244253622,L320_D6_U40,r320/t6.0/t6.0_40.cif
54,H55,H,1,0.1595088378165373,0.320818020126403,0.0939143411550056,3.454713957093035,5.97411032233179,2.544499476758508,L320_D6_U40,r320/t6.0/t6.0_40.cif
55,H56,H,1,0.28938661740811383,0.20885385808673862,0.2391012052488809,5.393729317187594,3.9792110374232386,6.478168128166429,L320_D6_U40,r320/t6.0/t6.0_40.cif
56,H57,H,1,0.3757763843036533,0.30681675044058876,0.1808075076769631,7.318330094052661,5.75942326726979,4.898768420455679,L320_D6_U40,r320/t6.0/t6.0_40.cif
57,H58,H,1,0.4209953056181016,0.20945672023088444,0.27220834599562155,7.800229956351505,4.007098561761508,7.3751674710890605,L320_D6_U40,r320/t6.0/t6.0_40.cif
