atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.14896545633850763,0.2517055936642186,0.18456700573706372,2.917851559946503,4.622037991220913,5.1207374943775426,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
1,C2,C,6,0.17982169691004077,0.25449888745532906,0.23628580210554836,3.434225736627637,4.694054465813961,6.555654741209126,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
2,C3,C,6,0.13417889016435375,0.1977174444237162,0.25874437608754663,2.469219166166354,3.6781255136848485,7.178758862125012,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
3,C4,C,6,0.0772616295277857,0.29845955211764674,0.1822437239017893,1.6449278661692754,5.465302107061458,5.056278972355224,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
4,C5,C,6,0.027726447303945592,0.2711573797386563,0.22117659782299526,0.628483846652146,4.988551998570634,6.136455932782326,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
5,C6,C,6,0.137059020374314,0.13668848026492503,0.22165812492768366,2.4824998641486045,2.5606560121558983,6.149815709031011,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
6,C7,C,6,0.2952800656237136,0.29403897208503704,0.2414102435087111,5.647161682510004,5.4101654345725345,6.6978303111389925,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
7,C8,C,6,0.37598208741600186,0.27048677593195497,0.2437511259750402,7.121948549956014,4.985861498669967,6.762777155605545,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
8,C9,C,6,0.41535746490088354,0.34111762181086025,0.2371553637885458,7.969345206806773,6.258486579347911,6.579780381087265,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
9,C10,C,6,0.3893432116510834,0.3852758622773577,0.19114872084917633,7.6038937392754296,7.036654382373029,5.3033445384551845,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
10,C11,C,6,0.3089005268670375,0.4045482824803307,0.19543137433502497,6.119412921646393,7.38644213359221,5.422165040488219,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
11,C12,C,6,0.2703611073231975,0.4497762674763044,0.15407114644025668,5.515000712449868,8.185864828723199,4.274642118333512,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
12,C13,C,6,0.2112221783408978,0.16104883964647582,0.4710535110113225,3.590310392193675,3.1045824024459963,13.069190595908719,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
13,C14,C,6,0.23811243756857706,0.2025634913869491,0.515045065121735,4.097846537813251,3.8725641627945335,14.2897186077791,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
14,C15,C,6,0.19177313492463288,0.1690809121840356,0.5523934451573136,3.1343913185819416,3.28355373415936,15.32593442131897,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
15,C16,C,6,0.1394444139403495,0.20064416747923322,0.4539780472314169,2.324425208698096,3.8124286417590962,12.59543870692692,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
16,C17,C,6,0.08721205295234918,0.20577158667827006,0.4961870740392769,1.2999104971040654,3.922624609905051,13.766511214242303,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
17,C18,C,6,0.1983222892080418,0.08760562778573662,0.5396021495326729,3.1561970848557235,1.8070225991618312,14.971045058265217,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
18,C19,C,6,0.35163228122577644,0.2434763911752469,0.506467064587087,6.293825127864296,4.607747035006345,14.05172542590379,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
19,C20,C,6,0.4326564285924894,0.22725092078969916,0.5164284571933944,7.775509314814849,4.3189207809096875,14.328100265554179,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
20,C21,C,6,0.47097801818649326,0.2842326175987067,0.4875350016328304,8.611834127735042,5.335780939864994,13.526462938014225,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
21,C22,C,6,0.4471043932765598,0.28859268436885455,0.43389558865850963,8.23896515274819,5.392130949463409,12.038258954333044,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
22,C23,C,6,0.36572767178626553,0.30637262512594704,0.43185030944759,6.742870460296392,5.712328946012821,11.981513503541327,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
23,C24,C,6,0.3286588169850087,0.31553319239719424,0.38206162629400187,6.124860695182512,5.856967909468058,10.600146473166062,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
24,C25,C,6,0.6500825443794471,0.2466097989729082,0.18457705728889295,12.29677387638108,4.530027724436513,5.121016370648646,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
25,C26,C,6,0.6806778994339354,0.2498016741240061,0.23637523816455697,12.808733606496034,4.609274479683049,6.558136108769301,L220_D9.6_U160,r220/t9.6/t9.6_160.cif
