atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.15138999568874542,0.2544361078821106,0.22297503883412534,2.9422164243564417,4.694420786634087,6.178665420079205,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
1,C2,C,6,0.17303137530126045,0.33358133854514044,0.22893255576369892,3.4505065399315074,6.127648069784564,6.343748938103282,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
2,C3,C,6,0.12283938717097538,0.3566022912205154,0.26923871668886273,2.4976644664527963,6.56097274089607,7.460637554993358,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
3,C4,C,6,0.0810900229423029,0.2593706687759583,0.1928261600720886,1.6652951349524607,4.77077032902408,5.3432363261538836,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
4,C5,C,6,0.024176137017797993,0.3133903986890866,0.2162920520295074,0.6479447625151861,5.757273548303156,5.993479043664864,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
5,C6,C,6,0.13166791679031714,0.28913121956609716,0.302658848691327,2.5329398072051403,5.355561291687407,8.386713473705141,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
6,C7,C,6,0.2877995697899063,0.34874971162756135,0.20304386350483233,5.65000410995879,6.390807528320008,5.626370129841582,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
7,C8,C,6,0.3674395945266959,0.3506621782733759,0.2178181070955735,7.128302549041435,6.431676349786885,6.035766214978483,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
8,C9,C,6,0.4098127771612381,0.3503994368064138,0.17121866409096828,7.97307332471393,6.407063399137682,4.7444899869622335,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
9,C10,C,6,0.3926169751149165,0.2873791654189123,0.1371681201892782,7.601310860877389,5.253347917441049,3.800945277920736,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
10,C11,C,6,0.311768016282896,0.2966628661222712,0.1260215386454895,6.111849559378608,5.416415637748726,3.4920721489067996,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
11,C12,C,6,0.2802322681892048,0.24230712213789787,0.09126756789382869,5.484206352233467,4.419026731715599,2.529035396378306,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
12,C13,C,6,0.8266531074309269,0.1882029646023053,0.5153789247491398,15.178485392206728,3.621781255257828,14.281212629158926,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
13,C14,C,6,0.8478134853270461,0.2679828334940361,0.5134432853919271,15.687338179631652,5.063116198834827,14.227575827368517,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
14,C15,C,6,0.7960402646160787,0.3004390610836735,0.5504954631090212,14.721505544924488,5.665612850644193,15.254296174167271,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
15,C16,C,6,0.7573365860369402,0.18606815353186398,0.4845561055526674,13.910954993543951,3.570052318246792,13.427108563904017,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
16,C17,C,6,0.6994115382689043,0.24494219879392284,0.5022156608056204,12.887771171417459,4.641830734436115,13.916456985798764,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
17,C18,C,6,0.8031628233646739,0.24157452157750525,0.5901801166349396,14.72982101099948,4.618449763981686,16.353962745504088,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
18,C19,C,6,0.962735713830009,0.27838830316079227,0.48614809539463677,17.884685088809217,5.2395783532784055,13.471222795869735,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
19,C20,C,6,0.042342436397441806,0.28319160259352344,0.5003975061037547,0.6335039536392015,5.332480295490416,13.866075698083732,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
20,C21,C,6,0.0852443053779025,0.2723644211886557,0.4543328004435487,1.4729819756286116,5.117124636894176,12.589617106857412,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
21,C22,C,6,0.06866738178319882,0.20202331719187402,0.4270603929849681,1.0952229875571255,3.8339616031558177,11.833895382274612,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
22,C23,C,6,0.9881142215164151,0.209403545713531,0.4146240611490699,18.343523109513104,3.9620709818927367,11.489283115947094,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
23,C24,C,6,0.9581303607473847,0.1468599233470298,0.38590929432763627,17.726977035646534,2.819246185159249,10.693593438156682,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
24,C25,C,6,0.6521050980955229,0.2543779196036997,0.2235077710107967,12.32166095031578,4.693596014185852,6.193427493427744,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
25,C26,C,6,0.673395119833568,0.3336084751991584,0.22946594584756702,12.823486183622645,6.128365974480416,6.358529242140187,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
26,C27,C,6,0.6227575063356134,0.3565996065032275,0.2695660453597502,11.862481802667617,6.561063736813685,7.469707872237781,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
27,C28,C,6,0.5820469550859633,0.25904692991776207,0.1931723449242309,11.049108298292461,4.765065750007448,5.3528291504721155,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
28,C29,C,6,0.5246162515879206,0.31256001644427245,0.216572875535996,10.021447618936405,5.742382647128134,6.001260697152891,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
29,C30,C,6,0.6315299083155117,0.2892280487848721,0.3030436974508064,11.896779910440316,5.357475693720805,8.397377679593788,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
30,C31,C,6,0.7879047016288181,0.3493104722235461,0.20354399182554211,15.018913551655505,6.401157436678302,5.640228746379689,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
31,C32,C,6,0.8675783177553382,0.35156582582292667,0.21815641642706052,16.49849366910927,6.4481555599674705,6.045140807662392,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
32,C33,C,6,0.9095417013161917,0.3519870400010108,0.17137926502482756,17.336729008879065,6.43583054853611,4.748940258354301,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
33,C34,C,6,0.8921323349887742,0.2891893327983787,0.13711228357466002,16.961511949802578,5.286046043471341,3.799398038544887,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
34,C35,C,6,0.8112978267818097,0.2982329918188147,0.12615511050184494,15.471780773112856,5.444855329548464,3.495773441276898,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
35,C36,C,6,0.7803662273270038,0.2435961515160995,0.0913329470980609,14.855141791759195,4.442356050424999,2.5308470620718926,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
36,C37,C,6,0.3264208984563243,0.1874868304292862,0.5157887715406523,5.805977993670605,3.609010584249366,14.29256953355275,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
37,C38,C,6,0.34830363019574784,0.2669652458711431,0.5139420130608962,6.327848198434073,5.044934118178376,14.241395631676696,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
38,C39,C,6,0.29668828620404003,0.29990860714062806,0.550909600544295,5.365739903104008,5.656200501989752,15.265771972821085,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
39,C40,C,6,0.2569581212185438,0.18609715607733932,0.4850148974267501,4.5366841188585285,3.5707721540061996,13.439821742483243,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
40,C41,C,6,0.19950632619814,0.24543402113423243,0.50271256283456,3.522963911763913,4.650933088564443,13.930226201399888,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
41,C42,C,6,0.3031022041380446,0.24108042019394252,0.5905858651158896,5.360839603115164,4.609690975261072,16.365206085214236,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
42,C43,C,6,0.4629393190831389,0.2773230906675925,0.4865251122444058,8.519895475019904,5.22048348981968,13.48166997858864,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
43,C44,C,6,0.5425674366729397,0.28248467091283,0.5003202727782367,10.00354215373542,5.319668353172349,13.863935553248906,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
44,C45,C,6,0.5849500659641041,0.27175298729822295,0.45403557059992217,10.833667454052813,5.105945207858191,12.581380831773739,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
45,C46,C,6,0.5680941210072445,0.2016531642777578,0.42653129428658054,10.451270516028952,3.8270449116069605,11.819233993050824,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
46,C47,C,6,0.4873765397761989,0.2086839766938325,0.4147197001853068,8.961887887439492,3.9491042861047023,11.49193328526244,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
47,C48,C,6,0.4574504893865679,0.14585818542663248,0.38621604476743643,8.345802054611708,2.8012687834101517,10.702093530117187,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
48,H49,H,1,0.1923631879313077,0.21720283116584682,0.2070081100947735,3.6758923275304234,4.014558436294494,5.736219884549586,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
49,H50,H,1,0.1596365425550569,0.3672564942338423,0.1961311743013651,3.2822764588952342,6.722403247041094,5.434818672043692,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
50,H51,H,1,0.13418394148520396,0.40871928324410556,0.2865216064320557,2.7632097801368674,7.510445098574116,7.93954852984354,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
51,H52,H,1,0.05878155498110001,0.2048794255730501,0.1915890311158426,1.1733974162129015,3.7852189008111843,5.308955332451165,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
52,H53,H,1,0.4889599029528076,0.27941571631171863,0.23688106585829202,9.285278646564155,5.151898270638251,6.564003118658207,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
53,H54,H,1,0.0847813162367859,0.28435215768524214,0.32483466113912357,1.6235534963483589,5.2786240718303015,9.001207931245261,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
54,H55,H,1,0.18055199673532135,0.2905080256180962,0.32614684811069916,3.424733185551241,5.390461433901753,9.037568791673158,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
55,H56,H,1,0.2683787170310993,0.4010126922144205,0.1836294363931595,5.379839375449611,7.3272763145980795,5.088393995504959,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
56,H57,H,1,0.3817904458765905,0.3002043623169417,0.2400021456300666,7.3029335085952285,5.529019629354556,6.650488618380524,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
57,H58,H,1,0.39371508551632073,0.4031204560378797,0.15207579903941773,7.765496960576122,7.3519277871921815,4.214038870309456,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
58,H59,H,1,0.0546100798558979,0.3164688660221567,0.1343880069775922,1.312567951629196,5.77800985243623,3.723908003009762,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
59,H60,H,1,0.4223543924711385,0.29281176348830834,0.10399314632673512,8.202455654505329,5.337410447995714,2.8816627210556507,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
60,H61,H,1,0.2972526458788639,0.3531189960345434,0.1112535358560826,5.934260320021219,6.430663479497536,3.082848997133199,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
61,H62,H,1,0.28567289804527385,0.1861947977703763,0.1077015347877289,5.490434547700492,3.411703906279516,2.9844226159208707,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
62,H63,H,1,0.31106550513961,0.24060787177868792,0.0582961935444904,6.09579389870023,4.374255471478869,1.6153946067637661,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
63,H64,H,1,0.4283963624515665,0.41973590091589214,0.24996110140578376,8.330329888764528,7.694005391469821,6.926452493051253,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
64,H65,H,1,0.37786382636685506,0.2028770641413992,0.1787483796111942,7.162281108234694,3.743549285994443,4.9531393189731725,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
65,H66,H,1,0.1775976803888162,0.26471968249693906,0.10485813356244042,3.5775259906185086,4.8299658842870725,2.905631622462763,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
66,H67,H,1,0.868347002645691,0.1475682373006477,0.503629456352871,15.91631284712408,2.882229494895583,13.955633432205206,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
67,H68,H,1,0.8350414545802993,0.2935340615323283,0.4776930958569485,15.522790866374816,5.509760283418328,13.236933731302456,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
68,H69,H,1,0.8067631292744293,0.3560371317396021,0.562502371486999,14.98603045087721,6.675762829604651,15.587009064296014,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
69,H70,H,1,0.7353134213102657,0.1317628600109369,0.48864091698067413,13.418795877089739,2.590130780315279,13.540299184924807,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
70,H71,H,1,0.16358827857153496,0.21781253376662363,0.5262349182168011,2.785987891723583,4.161653235485965,14.582033527273639,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
71,H72,H,1,0.75548937997187,0.24176161624559978,0.6120417421218561,13.812907416044597,4.631150544786224,16.959751044180955,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
72,H73,H,1,0.850939883672367,0.24834263500479292,0.6138124567953251,15.608171799256821,4.750868699885437,17.008817762944613,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
73,H74,H,1,0.9432630640270258,0.3264806494092152,0.4625889403218348,17.612349447995225,6.09888893436263,12.818395746098963,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
74,H75,H,1,0.05655306135786751,0.23776967958160905,0.5268402699311271,0.8077793865790045,4.522671428390778,14.598807896834682,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
75,H76,H,1,0.06910840734050891,0.3201861428994651,0.4302823171910978,1.2633222445376222,5.971333775145611,11.923175293526645,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
76,H77,H,1,0.7312731754666614,0.22768339771011933,0.4209863472559984,13.55027572303752,4.295223115083712,11.665582837059704,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
77,H78,H,1,0.0996232139489017,0.1987516061514529,0.3941179782738775,1.7069009738137444,3.7607777227507797,10.92105706775484,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
78,H79,H,1,0.9738507090372829,0.26176817630304244,0.3942518312726933,18.171168827203637,4.89996899670403,10.924766150616676,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
79,H80,H,1,0.9637711448888148,0.09539028975805831,0.4079577556214699,17.737188849532885,1.8982413083897358,11.304558979745885,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
80,H81,H,1,0.9901126976876128,0.13733286485103513,0.35381444327773104,18.34830177168035,2.633347290687329,9.804241215676914,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
81,H82,H,1,0.1031758760642185,0.3580805743747633,0.5257911732030162,1.8486976224385883,6.69705312695117,14.569737299021627,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
82,H83,H,1,0.05079303677820099,0.1286570362368857,0.47609075907820947,0.6049124799247442,2.5286379880920786,13.19253278446158,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
83,H84,H,1,0.8548733580176645,0.1713817137801115,0.39648930216603934,15.814869952044182,3.2670300655407294,10.986766740949278,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
84,H85,H,1,0.6933384051302062,0.21726194771401422,0.20771442570775633,13.060180658368797,4.015928144351708,5.755791976010665,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
85,H86,H,1,0.6600472669519031,0.3671620763224337,0.1966143347280979,12.656023458250502,6.720902430485952,5.4482071061779065,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
86,H87,H,1,0.6337817098254467,0.4088002299746373,0.2868534937840064,12.122136463380672,7.512049821693874,7.948745168694154,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
87,H88,H,1,0.5600712760959213,0.2043986939950347,0.1916271673577005,10.56356716032345,3.7765450965046043,5.310012092347032,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
88,H89,H,1,0.988191080225069,0.2804578938157119,0.23645206643271044,18.63950521621407,5.170554578511881,6.552115492447066,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
89,H90,H,1,0.5845153835637237,0.2842849565373163,0.32506950172453114,10.984935596365064,5.27750939704334,9.007715392402687,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
90,H91,H,1,0.6802114128532827,0.2909321421438105,0.3266972868726742,12.7850484735882,5.398362708079747,9.052821516652012,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
91,H92,H,1,0.7681488077382796,0.40160358794141393,0.1842899744412893,14.742337291168166,7.338239344036629,5.106697585081469,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
92,H93,H,1,0.8822288700429026,0.3008488037452043,0.2400186427533774,16.67873518724941,5.5406760621990285,6.650945755672053,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
93,H94,H,1,0.8931951277012088,0.4048420119331004,0.1524705998200552,17.124417431705822,7.383216194706028,4.2249788479136745,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
94,H95,H,1,0.5552221521994222,0.31611261042465777,0.1347967240756748,10.689806853593613,5.771744131689779,3.7352336034613747,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
95,H96,H,1,0.9217781908167901,0.29491160037007097,0.103925137000886,17.56135542652095,5.375339665866981,2.8797781743724706,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
96,H97,H,1,0.7961327794721489,0.35470569766243687,0.1116534158597691,15.281750382364876,6.459516326412546,3.093929720625289,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
97,H98,H,1,0.7866120281630373,0.18744433171529626,0.1076869911161963,14.876487042603603,3.4342852084095417,2.984019609015482,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
98,H99,H,1,0.8111609618580455,0.242461762217565,0.05834592373057661,15.466806345210138,4.407788966750027,1.6167726362629942,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
99,H100,H,1,0.9285298146994462,0.4203470015401723,0.2505728462058981,17.699716506659882,7.705312861032964,6.943404015796324,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
100,H101,H,1,0.8770592611542545,0.20450474377753408,0.17834110511154114,16.51662375371255,3.7727988247202897,4.941853693099334,L140_D2.4_U220,r140/t2.4/t2.4_220.cif
