structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,tsne_1,tsne_2
L0_D2.4_U140,r0/t2.4/t2.4_140.cif,0.0,2.4000000953674316,140.0,-936.3582763671875,0.2815200090408325,19.41432,3.7048616
L0_D2.4_U160,r0/t2.4/t2.4_160.cif,0.0,2.4000000953674316,160.0,-936.2028198242188,0.43700000643730164,-6.3079276,16.48417
L0_D2.4_U180,r0/t2.4/t2.4_180.cif,0.0,2.4000000953674316,180.0,-936.16015625,0.4796200096607208,-3.1563356,21.740913
L0_D2.4_U20,r0/t2.4/t2.4_20.cif,0.0,2.4000000953674316,20.0,-936.1475830078125,0.492220014333725,-1.4861095,30.658203
L0_D2.4_U200,r0/t2.4/t2.4_200.cif,0.0,2.4000000953674316,200.0,-936.1932983398438,0.44648000597953796,2.6143615,31.22338
L0_D2.4_U220,r0/t2.4/t2.4_220.cif,0.0,2.4000000953674316,220.0,-936.5844116210938,0.055399999022483826,24.866951,27.036947
L0_D2.4_U240,r0/t2.4/t2.4_240.cif,0.0,2.4000000953674316,240.0,-936.7237548828125,-0.08395999670028687,21.631207,3.3148744
L0_D2.4_U260,r0/t2.4/t2.4_260.cif,0.0,2.4000000953674316,260.0,-936.7849731445312,-0.14515000581741333,46.626328,-21.056665
L0_D2.4_U280,r0/t2.4/t2.4_280.cif,0.0,2.4000000953674316,280.0,-936.2855224609375,0.3542799949645996,34.574535,-10.880752
L0_D2.4_U300,r0/t2.4/t2.4_300.cif,0.0,2.4000000953674316,300.0,-936.1840209960938,0.4557499885559082,47.204266,-7.184368
L0_D2.4_U320,r0/t2.4/t2.4_320.cif,0.0,2.4000000953674316,320.0,-936.2109985351562,0.42882001399993896,24.739782,3.6387327
L0_D2.4_U340,r0/t2.4/t2.4_340.cif,0.0,2.4000000953674316,340.0,-936.1056518554688,0.5341299772262573,-1.7742337,13.355709
L0_D2.4_U40,r0/t2.4/t2.4_40.cif,0.0,2.4000000953674316,40.0,-936.1141967773438,0.5255799889564514,-0.096565925,58.151875
L0_D2.4_U60,r0/t2.4/t2.4_60.cif,0.0,2.4000000953674316,60.0,-936.1209716796875,0.5188400149345398,7.637181,53.01787
L0_D2.4_U80,r0/t2.4/t2.4_80.cif,0.0,2.4000000953674316,80.0,-936.0940551757812,0.5457299947738647,7.7255926,52.30888
L0_D3.6_U0,r0/t3.6/t3.6_0.cif,0.0,3.5999999046325684,0.0,-936.173828125,0.46599000692367554,-0.087266535,18.881884
L0_D3.6_U100,r0/t3.6/t3.6_100.cif,0.0,3.5999999046325684,100.0,-936.5261840820312,0.11362999677658081,43.650795,-5.0864425
L0_D3.6_U120,r0/t3.6/t3.6_120.cif,0.0,3.5999999046325684,120.0,-936.3416748046875,0.29813000559806824,37.361042,-1.4084845
L0_D3.6_U140,r0/t3.6/t3.6_140.cif,0.0,3.5999999046325684,140.0,-936.2628784179688,0.37692999839782715,18.173994,4.9598546
L0_D3.6_U160,r0/t3.6/t3.6_160.cif,0.0,3.5999999046325684,160.0,-936.1182861328125,0.5215200185775757,-6.668278,17.42794
L0_D3.6_U180,r0/t3.6/t3.6_180.cif,0.0,3.5999999046325684,180.0,-936.164306640625,0.4755200147628784,-2.8087902,22.40007
L0_D3.6_U20,r0/t3.6/t3.6_20.cif,0.0,3.5999999046325684,20.0,-936.0944213867188,0.5453600287437439,-1.3763652,30.975498
L0_D3.6_U200,r0/t3.6/t3.6_200.cif,0.0,3.5999999046325684,200.0,-936.279052734375,0.3607400059700012,2.2244544,30.954756
L0_D3.6_U220,r0/t3.6/t3.6_220.cif,0.0,3.5999999046325684,220.0,-936.6455688476562,-0.005760000087320805,9.857444,5.424068
L0_D3.6_U240,r0/t3.6/t3.6_240.cif,0.0,3.5999999046325684,240.0,-936.7133178710938,-0.07350999861955643,36.293846,17.391157
L0_D3.6_U260,r0/t3.6/t3.6_260.cif,0.0,3.5999999046325684,260.0,-936.5264892578125,0.11331000179052353,38.63921,12.553245
L0_D3.6_U280,r0/t3.6/t3.6_280.cif,0.0,3.5999999046325684,280.0,-936.432373046875,0.2074500024318695,34.0549,-11.523052
L0_D3.6_U300,r0/t3.6/t3.6_300.cif,0.0,3.5999999046325684,300.0,-936.3841552734375,0.25562000274658203,45.404003,-6.367199
L0_D3.6_U320,r0/t3.6/t3.6_320.cif,0.0,3.5999999046325684,320.0,-936.5734252929688,0.06634999811649323,24.02687,2.5893745
L0_D3.6_U340,r0/t3.6/t3.6_340.cif,0.0,3.5999999046325684,340.0,-936.5167236328125,0.12306000292301178,21.65412,5.960612
L0_D3.6_U40,r0/t3.6/t3.6_40.cif,0.0,3.5999999046325684,40.0,-936.033203125,0.6065700054168701,-0.25290313,58.648067
L0_D3.6_U60,r0/t3.6/t3.6_60.cif,0.0,3.5999999046325684,60.0,-936.186767578125,0.4530099928379059,7.9427905,52.993862
L0_D3.6_U80,r0/t3.6/t3.6_80.cif,0.0,3.5999999046325684,80.0,-936.34375,0.29603999853134155,4.7583613,51.527313
L0_D4.8_U0,r0/t4.8/t4.8_0.cif,0.0,4.800000190734863,0.0,-936.74560546875,-0.10578999668359756,22.580353,4.698594
L0_D4.8_U100,r0/t4.8/t4.8_100.cif,0.0,4.800000190734863,100.0,-936.76953125,-0.12972000241279602,43.45537,-13.35587
L0_D4.8_U120,r0/t4.8/t4.8_120.cif,0.0,4.800000190734863,120.0,-936.642333984375,-0.0025400000158697367,43.28769,-4.6760297
L0_D4.8_U140,r0/t4.8/t4.8_140.cif,0.0,4.800000190734863,140.0,-936.3843383789062,0.25547999143600464,18.163496,5.0792394
L0_D4.8_U160,r0/t4.8/t4.8_160.cif,0.0,4.800000190734863,160.0,-936.0925903320312,0.5471900105476379,-6.6922045,17.410707
L0_D4.8_U180,r0/t4.8/t4.8_180.cif,0.0,4.800000190734863,180.0,-936.1724853515625,0.4672999978065491,-2.875397,22.36601
L0_D4.8_U20,r0/t4.8/t4.8_20.cif,0.0,4.800000190734863,20.0,-936.0970458984375,0.5427299737930298,-1.470669,30.76289
L0_D4.8_U200,r0/t4.8/t4.8_200.cif,0.0,4.800000190734863,200.0,-936.2677612304688,0.3720499873161316,2.2371914,30.991125
L0_D4.8_U220,r0/t4.8/t4.8_220.cif,0.0,4.800000190734863,220.0,-936.6276245117188,0.012179999612271786,9.860482,5.4526954
L0_D4.8_U240,r0/t4.8/t4.8_240.cif,0.0,4.800000190734863,240.0,-936.5643920898438,0.07539000362157822,35.890568,17.640886
L0_D4.8_U260,r0/t4.8/t4.8_260.cif,0.0,4.800000190734863,260.0,-936.5114135742188,0.128370001912117,38.73605,12.834794
L0_D4.8_U280,r0/t4.8/t4.8_280.cif,0.0,4.800000190734863,280.0,-936.4553833007812,0.1844400018453598,33.883465,-10.928347
L0_D4.8_U300,r0/t4.8/t4.8_300.cif,0.0,4.800000190734863,300.0,-936.4236450195312,0.21616999804973602,45.431396,-7.093139
L0_D4.8_U320,r0/t4.8/t4.8_320.cif,0.0,4.800000190734863,320.0,-936.7175903320312,-0.07777000218629837,24.02375,2.6020951
L0_D4.8_U340,r0/t4.8/t4.8_340.cif,0.0,4.800000190734863,340.0,-936.5380249023438,0.10176999866962433,21.70941,5.892124
L0_D4.8_U40,r0/t4.8/t4.8_40.cif,0.0,4.800000190734863,40.0,-936.0169677734375,0.6228600144386292,-0.22118542,58.479607
L0_D4.8_U60,r0/t4.8/t4.8_60.cif,0.0,4.800000190734863,60.0,-936.35986328125,0.2799600064754486,33.46088,-8.842921
L0_D4.8_U80,r0/t4.8/t4.8_80.cif,0.0,4.800000190734863,80.0,-936.490234375,0.14956000447273254,33.549458,-9.263852
L0_D6_U0,r0/t6.0/t6.0_0.cif,0.0,6.0,0.0,-936.0494995117188,0.5903300046920776,-0.90337104,17.475924
L0_D6_U100,r0/t6.0/t6.0_100.cif,0.0,6.0,100.0,-936.7807006835938,-0.14088000357151031,43.41899,-12.970447
L0_D6_U120,r0/t6.0/t6.0_120.cif,0.0,6.0,120.0,-936.5726928710938,0.06712000072002411,36.147564,-2.5638552
L0_D6_U140,r0/t6.0/t6.0_140.cif,0.0,6.0,140.0,-936.6351318359375,0.004679999779909849,21.228636,4.4878273
L0_D6_U160,r0/t6.0/t6.0_160.cif,0.0,6.0,160.0,-936.2063598632812,0.4334399998188019,-5.448842,14.128752
L0_D6_U180,r0/t6.0/t6.0_180.cif,0.0,6.0,180.0,-936.1717529296875,0.46803000569343567,-4.317586,22.131207
L0_D6_U20,r0/t6.0/t6.0_20.cif,0.0,6.0,20.0,-936.1077880859375,0.5320000052452087,-5.624036,33.37382
L0_D6_U200,r0/t6.0/t6.0_200.cif,0.0,6.0,200.0,-936.2504272460938,0.38936999440193176,4.1580057,32.20656
L0_D6_U220,r0/t6.0/t6.0_220.cif,0.0,6.0,220.0,-936.4277954101562,0.212009996175766,7.240403,31.891212
L0_D6_U240,r0/t6.0/t6.0_240.cif,0.0,6.0,240.0,-936.5037841796875,0.13600000739097595,34.68472,17.751467
L0_D6_U260,r0/t6.0/t6.0_260.cif,0.0,6.0,260.0,-936.44580078125,0.19401000440120697,37.306946,12.964146
L0_D6_U280,r0/t6.0/t6.0_280.cif,0.0,6.0,280.0,-936.4337768554688,0.20603999495506287,32.546783,-11.3771105
L0_D6_U300,r0/t6.0/t6.0_300.cif,0.0,6.0,300.0,-936.4136962890625,0.2261199951171875,45.051792,-8.7537365
L0_D6_U320,r0/t6.0/t6.0_320.cif,0.0,6.0,320.0,-936.3141479492188,0.32565999031066895,23.130396,2.8927903
L0_D6_U340,r0/t6.0/t6.0_340.cif,0.0,6.0,340.0,-936.0435791015625,0.5961999893188477,-1.9020882,13.527919
L0_D6_U40,r0/t6.0/t6.0_40.cif,0.0,6.0,40.0,-936.0645751953125,0.5752500295639038,-1.3404614,57.449883
L0_D6_U60,r0/t6.0/t6.0_60.cif,0.0,6.0,60.0,-936.1625366210938,0.47729000449180603,6.012944,52.888035
L0_D6_U80,r0/t6.0/t6.0_80.cif,0.0,6.0,80.0,-936.6168823242188,0.02290000021457672,35.24143,-17.005856
L0_D7.2_U0,r0/t7.2/t7.2_0.cif,0.0,7.199999809265137,0.0,-936.3482666015625,0.29155001044273376,17.692251,10.94364
L0_D7.2_U100,r0/t7.2/t7.2_100.cif,0.0,7.199999809265137,100.0,-936.6712646484375,-0.03147000074386597,43.29278,-12.647247
L0_D7.2_U120,r0/t7.2/t7.2_120.cif,0.0,7.199999809265137,120.0,-936.3850708007812,0.25473999977111816,35.849854,-2.3139505
L0_D7.2_U140,r0/t7.2/t7.2_140.cif,0.0,7.199999809265137,140.0,-936.3043212890625,0.3354499936103821,16.754278,3.4048343
L0_D7.2_U160,r0/t7.2/t7.2_160.cif,0.0,7.199999809265137,160.0,-936.23681640625,0.4030100107192993,-5.691552,14.05616
L0_D7.2_U180,r0/t7.2/t7.2_180.cif,0.0,7.199999809265137,180.0,-936.1014404296875,0.5383599996566772,-4.610891,21.783703
L0_D7.2_U20,r0/t7.2/t7.2_20.cif,0.0,7.199999809265137,20.0,-936.149658203125,0.4901300072669983,-5.7138557,33.469753
L0_D7.2_U200,r0/t7.2/t7.2_200.cif,0.0,7.199999809265137,200.0,-936.1697387695312,0.47009000182151794,4.3751125,32.28687
L0_D7.2_U220,r0/t7.2/t7.2_220.cif,0.0,7.199999809265137,220.0,-936.2457885742188,0.39399001002311707,6.9020257,32.0146
L0_D7.2_U240,r0/t7.2/t7.2_240.cif,0.0,7.199999809265137,240.0,-936.2835083007812,0.35627999901771545,33.940666,17.896982
L0_D7.2_U260,r0/t7.2/t7.2_260.cif,0.0,7.199999809265137,260.0,-936.2553100585938,0.38449999690055847,36.784374,13.295991
L0_D7.2_U280,r0/t7.2/t7.2_280.cif,0.0,7.199999809265137,280.0,-936.2893676757812,0.3504199981689453,31.692928,-11.500421
L0_D7.2_U300,r0/t7.2/t7.2_300.cif,0.0,7.199999809265137,300.0,-936.2991333007812,0.34068000316619873,45.10069,-9.171777
L0_D7.2_U320,r0/t7.2/t7.2_320.cif,0.0,7.199999809265137,320.0,-936.1744995117188,0.4652999937534332,18.535707,8.010854
L0_D7.2_U340,r0/t7.2/t7.2_340.cif,0.0,7.199999809265137,340.0,-936.0950927734375,0.544730007648468,-2.1841307,13.840433
L0_D7.2_U40,r0/t7.2/t7.2_40.cif,0.0,7.199999809265137,40.0,-936.0870361328125,0.5527799725532532,-1.7770507,57.58523
L0_D7.2_U60,r0/t7.2/t7.2_60.cif,0.0,7.199999809265137,60.0,-936.1162109375,0.5235599875450134,6.2946367,54.607372
L0_D7.2_U80,r0/t7.2/t7.2_80.cif,0.0,7.199999809265137,80.0,-936.2665405273438,0.3732599914073944,5.856407,48.28082
L0_D8.4_U0,r0/t8.4/t8.4_0.cif,0.0,8.399999618530273,0.0,-936.4639892578125,0.17583000659942627,-0.023903877,16.17101
L0_D8.4_U100,r0/t8.4/t8.4_100.cif,0.0,8.399999618530273,100.0,-936.3046875,0.3351399898529053,44.59819,-10.837029
L0_D8.4_U120,r0/t8.4/t8.4_120.cif,0.0,8.399999618530273,120.0,-936.2675170898438,0.3722899854183197,35.642105,-2.8095624
L0_D8.4_U140,r0/t8.4/t8.4_140.cif,0.0,8.399999618530273,140.0,-936.2213745117188,0.41843000054359436,16.752777,3.3585596
L0_D8.4_U160,r0/t8.4/t8.4_160.cif,0.0,8.399999618530273,160.0,-936.1654663085938,0.47435998916625977,-5.8389115,13.877178
L0_D8.4_U180,r0/t8.4/t8.4_180.cif,0.0,8.399999618530273,180.0,-936.0524291992188,0.5873600244522095,-4.7009997,21.613207
L0_D8.4_U20,r0/t8.4/t8.4_20.cif,0.0,8.399999618530273,20.0,-936.2846069335938,0.3552199900150299,-5.3672056,33.47668
L0_D8.4_U200,r0/t8.4/t8.4_200.cif,0.0,8.399999618530273,200.0,-935.9815063476562,0.65829998254776,4.6366515,32.527374
L0_D8.4_U220,r0/t8.4/t8.4_220.cif,0.0,8.399999618530273,220.0,-936.0154418945312,0.6243500113487244,6.8284016,32.050285
L0_D8.4_U240,r0/t8.4/t8.4_240.cif,0.0,8.399999618530273,240.0,-936.1453247070312,0.4944700002670288,33.954258,17.84397
L0_D8.4_U260,r0/t8.4/t8.4_260.cif,0.0,8.399999618530273,260.0,-936.1431274414062,0.49665001034736633,36.680504,13.466782
L0_D8.4_U280,r0/t8.4/t8.4_280.cif,0.0,8.399999618530273,280.0,-936.2542114257812,0.385560005903244,31.59669,-11.593072
L0_D8.4_U300,r0/t8.4/t8.4_300.cif,0.0,8.399999618530273,300.0,-936.3109741210938,0.3287999927997589,45.4916,-9.495856
L0_D8.4_U320,r0/t8.4/t8.4_320.cif,0.0,8.399999618530273,320.0,-936.3185424804688,0.32124999165534973,19.942646,6.4931383
L0_D8.4_U340,r0/t8.4/t8.4_340.cif,0.0,8.399999618530273,340.0,-936.4236450195312,0.2161799967288971,19.952074,7.470602
L0_D8.4_U40,r0/t8.4/t8.4_40.cif,0.0,8.399999618530273,40.0,-936.1875,0.4523099958896637,-1.5284796,57.280922
