structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2
L0_D0_U0,r0/t0/t0_0.cif,0.0,0.0,0.0,-936.5095825195312,0.1302099972963333,0.8649945659542768,-2.794763395787288
L0_D0_U100,r0/t0/t0_100.cif,0.0,0.0,100.0,-936.2015380859375,0.4382599890232086,0.7525516526801554,-1.440005576075579
L0_D0_U120,r0/t0/t0_120.cif,0.0,0.0,120.0,-936.2420654296875,0.39772000908851624,1.3323735888965647,-2.7768297071539827
L0_D0_U140,r0/t0/t0_140.cif,0.0,0.0,140.0,-936.156982421875,0.48284000158309937,-0.8740673451458104,-3.4388393906286012
L0_D0_U160,r0/t0/t0_160.cif,0.0,0.0,160.0,-936.07958984375,0.560230016708374,-1.6398047234487672,-1.715825685418044
L0_D0_U180,r0/t0/t0_180.cif,0.0,0.0,180.0,-936.0446166992188,0.5951600074768066,-1.5821121088294603,-0.12075859947101192
L0_D0_U20,r0/t0/t0_20.cif,0.0,0.0,20.0,-936.451171875,0.1886100023984909,-0.9673438041615674,-1.1712512198560174
L0_D0_U200,r0/t0/t0_200.cif,0.0,0.0,200.0,-935.906005859375,0.7337999939918518,-2.2847592780304993,1.1248827580980936
L0_D0_U220,r0/t0/t0_220.cif,0.0,0.0,220.0,-936.2314453125,0.40838000178337097,-3.3741401671187967,0.34495570498584394
L0_D0_U240,r0/t0/t0_240.cif,0.0,0.0,240.0,-936.6409912109375,-0.0011699999449774623,0.9489945342687689,-0.09095831472730004
L0_D0_U260,r0/t0/t0_260.cif,0.0,0.0,260.0,-936.1206665039062,0.5191199779510498,-0.4465025501044848,0.15898610170575267
L0_D0_U280,r0/t0/t0_280.cif,0.0,0.0,280.0,-936.2071533203125,0.4326399862766266,0.021362778016325912,-2.8661309889478197
L0_D0_U300,r0/t0/t0_300.cif,0.0,0.0,300.0,-936.2823486328125,0.357479989528656,1.6856664276735642,-2.9435589966723725
L0_D0_U320,r0/t0/t0_320.cif,0.0,0.0,320.0,-936.3467407226562,0.2930600047111511,2.889297466377683,-2.8736252411361054
L0_D0_U340,r0/t0/t0_340.cif,0.0,0.0,340.0,-936.4034423828125,0.23634999990463257,2.0325355814558863,-2.6973676486867735
L0_D0_U40,r0/t0/t0_40.cif,0.0,0.0,40.0,-936.2039184570312,0.4358600080013275,-0.6789133170411052,2.468710893234456
L0_D0_U60,r0/t0/t0_60.cif,0.0,0.0,60.0,-936.1217041015625,0.5180799961090088,-2.385231353539573,1.562240654730395
L0_D0_U80,r0/t0/t0_80.cif,0.0,0.0,80.0,-936.1058959960938,0.5338799953460693,-0.8141313001181301,-1.3793236163844385
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,0.0,1.2000000476837158,0.0,-936.3593139648438,0.28049999475479126,-1.778007692332059,-1.4143222403735929
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,0.0,1.2000000476837158,100.0,-936.1024169921875,0.5373600125312805,-1.0955256320926372,-1.8876721842708
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,0.0,1.2000000476837158,120.0,-936.2482299804688,0.3915799856185913,1.6839274846998842,-2.076825767044596
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,0.0,1.2000000476837158,140.0,-936.3133544921875,0.3264400064945221,0.494779986737677,-3.2610839313235624
L0_D1.2_U160,r0/t1.2/t1.2_160.cif,0.0,1.2000000476837158,160.0,-936.1820068359375,0.45781001448631287,-1.7616775355570125,-1.6276963238029551
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,0.0,1.2000000476837158,180.0,-936.1107177734375,0.5290899872779846,-1.3730267217273653,0.45430053254508784
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,0.0,1.2000000476837158,20.0,-936.2503662109375,0.38944000005722046,-1.1550969893843517,1.0531197440480833
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,0.0,1.2000000476837158,200.0,-936.0697021484375,0.5700899958610535,-2.194308354178109,1.5433963034667741
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,0.0,1.2000000476837158,220.0,-936.239990234375,0.39980998635292053,-3.650441953962968,0.8637240520606215
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,0.0,1.2000000476837158,240.0,-936.6503295898438,-0.010499999858438969,1.026041325137377,-0.2387816015669646
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,0.0,1.2000000476837158,260.0,-936.6937255859375,-0.053939998149871826,5.622405879097492,1.0575465333678498
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,0.0,1.2000000476837158,280.0,-936.19384765625,0.4459800124168396,-0.5571955261171675,-2.6490148491977488
L0_D1.2_U300,r0/t1.2/t1.2_300.cif,0.0,1.2000000476837158,300.0,-936.1797485351562,0.4600299894809723,0.8472059411454695,-3.532888875799536
L0_D1.2_U320,r0/t1.2/t1.2_320.cif,0.0,1.2000000476837158,320.0,-936.346435546875,0.29337000846862793,1.9867767249212316,-3.072312152972038
L0_D1.2_U340,r0/t1.2/t1.2_340.cif,0.0,1.2000000476837158,340.0,-936.4126586914062,0.22713999450206757,0.04256238146981284,-3.181009335005836
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,0.0,1.2000000476837158,40.0,-936.1129760742188,0.5268399715423584,-0.4970182240446599,2.440869863486731
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,0.0,1.2000000476837158,60.0,-936.088134765625,0.5516700148582458,-2.0723315678322387,1.057157169655962
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,0.0,1.2000000476837158,80.0,-936.0313110351562,0.6085000038146973,-2.2044913287506254,0.8985148706467705
L0_D2.4_U0,r0/t2.4/t2.4_0.cif,0.0,2.4000000953674316,0.0,-936.1618041992188,0.4779999852180481,-1.7591712586945158,-0.34829583345887116
L0_D2.4_U100,r0/t2.4/t2.4_100.cif,0.0,2.4000000953674316,100.0,-936.1903076171875,0.4494900107383728,-1.063369950568549,-1.7476201688896944
L0_D2.4_U120,r0/t2.4/t2.4_120.cif,0.0,2.4000000953674316,120.0,-936.3414306640625,0.2983500063419342,1.1615627869478569,-2.145496145113691
L0_D2.4_U140,r0/t2.4/t2.4_140.cif,0.0,2.4000000953674316,140.0,-936.3582763671875,0.2815200090408325,0.19807928442640255,-3.2560417268688147
L0_D2.4_U160,r0/t2.4/t2.4_160.cif,0.0,2.4000000953674316,160.0,-936.2028198242188,0.43700000643730164,-2.190656730958544,-1.2899132637534168
L0_D2.4_U180,r0/t2.4/t2.4_180.cif,0.0,2.4000000953674316,180.0,-936.16015625,0.4796200096607208,-1.118151146483955,1.185192737492002
L0_D2.4_U20,r0/t2.4/t2.4_20.cif,0.0,2.4000000953674316,20.0,-936.1475830078125,0.492220014333725,-1.3785585980706074,0.8598481179782127
L0_D2.4_U200,r0/t2.4/t2.4_200.cif,0.0,2.4000000953674316,200.0,-936.1932983398438,0.44648000597953796,-2.1275581390885545,1.6510171382039716
L0_D2.4_U220,r0/t2.4/t2.4_220.cif,0.0,2.4000000953674316,220.0,-936.5844116210938,0.055399999022483826,-2.4777789550806126,-0.26549773124373166
L0_D2.4_U240,r0/t2.4/t2.4_240.cif,0.0,2.4000000953674316,240.0,-936.7237548828125,-0.08395999670028687,2.1879117330565467,-2.83901465293906
L0_D2.4_U260,r0/t2.4/t2.4_260.cif,0.0,2.4000000953674316,260.0,-936.7849731445312,-0.14515000581741333,4.265127351664182,0.7219349703283193
L0_D2.4_U280,r0/t2.4/t2.4_280.cif,0.0,2.4000000953674316,280.0,-936.2855224609375,0.3542799949645996,-0.49839754755991206,-2.563309925283142
L0_D2.4_U300,r0/t2.4/t2.4_300.cif,0.0,2.4000000953674316,300.0,-936.1840209960938,0.4557499885559082,1.0835921015810774,-3.3008011841430305
L0_D2.4_U320,r0/t2.4/t2.4_320.cif,0.0,2.4000000953674316,320.0,-936.2109985351562,0.42882001399993896,0.7033352905843901,-3.5917852561120105
L0_D2.4_U340,r0/t2.4/t2.4_340.cif,0.0,2.4000000953674316,340.0,-936.1056518554688,0.5341299772262573,-2.2496529120381945,-2.265415264540132
L0_D2.4_U40,r0/t2.4/t2.4_40.cif,0.0,2.4000000953674316,40.0,-936.1141967773438,0.5255799889564514,-0.2862560007845234,3.2434993244603456
L0_D2.4_U60,r0/t2.4/t2.4_60.cif,0.0,2.4000000953674316,60.0,-936.1209716796875,0.5188400149345398,-2.125082878605386,1.6019925485057118
L0_D2.4_U80,r0/t2.4/t2.4_80.cif,0.0,2.4000000953674316,80.0,-936.0940551757812,0.5457299947738647,-2.2297212956278205,1.030873055151463
L0_D3.6_U0,r0/t3.6/t3.6_0.cif,0.0,3.5999999046325684,0.0,-936.173828125,0.46599000692367554,-1.6916993074636262,-0.9220470352035175
L0_D3.6_U100,r0/t3.6/t3.6_100.cif,0.0,3.5999999046325684,100.0,-936.5261840820312,0.11362999677658081,2.8377804928768393,-1.6394400886007685
L0_D3.6_U120,r0/t3.6/t3.6_120.cif,0.0,3.5999999046325684,120.0,-936.3416748046875,0.29813000559806824,1.2131270913606962,-2.343768125936152
L0_D3.6_U140,r0/t3.6/t3.6_140.cif,0.0,3.5999999046325684,140.0,-936.2628784179688,0.37692999839782715,-1.2130140998558778,-3.7916228699445815
L0_D3.6_U160,r0/t3.6/t3.6_160.cif,0.0,3.5999999046325684,160.0,-936.1182861328125,0.5215200185775757,-2.7719420751298838,-0.7579820339057055
L0_D3.6_U180,r0/t3.6/t3.6_180.cif,0.0,3.5999999046325684,180.0,-936.164306640625,0.4755200147628784,-0.7460042547762769,1.728152205608554
