structure_id,relative_cif_path,cluster_label,energy,delta_energy,lower_rotation,displacement,upper_rotation
L300_D8.4_U40,r300/t8.4/t8.4_40.cif,-1,-935.9939575195312,0.6458399891853333,300.0,8.399999618530273,40.0
L60_D8.4_U180,r60/t8.4/t8.4_180.cif,-1,-935.9918212890624,0.6479700207710266,60.0,8.399999618530273,180.0
L300_D9.6_U40,r300/t9.6/t9.6_40.cif,-1,-935.9915161132812,0.6482800245285034,300.0,9.600000381469728,40.0
L180_D2.4_U200,r180/t2.4/t2.4_200.cif,-1,-935.9905395507812,0.6492300033569336,180.0,2.400000095367432,200.0
L120_D0_U200,r120/t0/t0_200.cif,-1,-935.977294921875,0.6625099778175354,120.0,0.0,200.0
L320_D9.6_U160,r320/t9.6/t9.6_160.cif,-1,-935.9761352539062,0.663640022277832,320.0,9.600000381469728,160.0
L220_D2.4_U200,r220/t2.4/t2.4_200.cif,-1,-935.955078125,0.6847500205039978,220.0,2.400000095367432,200.0
L320_D8.4_U160,r320/t8.4/t8.4_160.cif,-1,-935.9522094726562,0.6876000165939331,320.0,8.399999618530273,160.0
L340_D9.6_U60,r340/t9.6/t9.6_60.cif,-1,-935.9512329101562,0.6885799765586853,340.0,9.600000381469728,60.0
L320_D6_U320,r320/t6.0/t6.0_320.cif,-1,-935.9283447265624,0.7114599943161011,320.0,6.0,320.0
L340_D6_U320,r340/t6.0/t6.0_320.cif,-1,-935.9164428710938,0.7233800292015076,340.0,6.0,320.0
L140_D6_U80,r140/t6.0/t6.0_80.cif,0,-936.3864135742188,0.2533699870109558,140.0,6.0,80.0
L140_D4.8_U80,r140/t4.8/t4.8_80.cif,0,-936.346923828125,0.2928900122642517,140.0,4.800000190734863,80.0
L120_D6_U280,r120/t6.0/t6.0_280.cif,0,-936.34228515625,0.2975299954414367,120.0,6.0,280.0
L140_D6_U60,r140/t6.0/t6.0_60.cif,0,-936.3378295898438,0.3019599914550781,140.0,6.0,60.0
L160_D2.4_U80,r160/t2.4/t2.4_80.cif,0,-936.3319702148438,0.3078300058841705,160.0,2.400000095367432,80.0
L140_D2.4_U80,r140/t2.4/t2.4_80.cif,0,-936.3138427734376,0.3259299993515014,140.0,2.400000095367432,80.0
L140_D2.4_U60,r140/t2.4/t2.4_60.cif,0,-936.3117065429688,0.3280799984931946,140.0,2.400000095367432,60.0
L120_D2.4_U280,r120/t2.4/t2.4_280.cif,0,-936.3116455078124,0.3281599879264831,120.0,2.400000095367432,280.0
L140_D3.6_U80,r140/t3.6/t3.6_80.cif,0,-936.303955078125,0.3358500003814697,140.0,3.5999999046325684,80.0
L120_D4.8_U280,r120/t4.8/t4.8_280.cif,0,-936.294189453125,0.3456299901008606,120.0,4.800000190734863,280.0
