query_structure_id,neighbor_structure_id,rank,similarity_score,distance_metric
L0_D0_U220,L0_D1.2_U220,1,0.9692420014961849,cosine
L0_D0_U220,L0_D6_U220,2,0.9065953096245171,cosine
L0_D0_U220,L0_D9.6_U220,3,0.8962978188729388,cosine
L0_D0_U220,L0_D8.4_U220,4,0.8931747592524725,cosine
L0_D0_U220,L0_D7.2_U220,5,0.8930881425040973,cosine
L0_D0_U220,L0_D2.4_U220,6,0.8746435608106504,cosine
L0_D0_U220,L20_D6_U220,7,0.8705994791221542,cosine
L0_D0_U220,L20_D7.2_U220,8,0.8514713578421279,cosine
L0_D0_U220,L340_D0_U220,9,0.825372781132929,cosine
L0_D0_U220,L340_D0_U200,10,0.8190717822795366,cosine
L0_D0_U240,L0_D1.2_U240,1,0.979813382649452,cosine
L0_D0_U240,L0_D2.4_U260,2,0.8602345040132724,cosine
L0_D0_U240,L0_D3.6_U240,3,0.8427937823301829,cosine
L0_D0_U240,L0_D1.2_U260,4,0.8413374333353121,cosine
L0_D0_U240,L340_D1.2_U240,5,0.8305323835427497,cosine
L0_D0_U240,L20_D2.4_U260,6,0.8194389869803197,cosine
L0_D0_U240,L20_D3.6_U260,7,0.8179963054678786,cosine
L0_D0_U240,L20_D1.2_U260,8,0.8118372773090258,cosine
L0_D0_U240,L340_D1.2_U260,9,0.8067606301769297,cosine
L0_D0_U240,L340_D3.6_U240,10,0.8028302404445918,cosine
L0_D0_U260,L0_D4.8_U260,1,0.9460063239274407,cosine
L0_D0_U260,L20_D0_U260,2,0.9456167394415906,cosine
L0_D0_U260,L0_D3.6_U260,3,0.9079558511230932,cosine
L0_D0_U260,L20_D6_U260,4,0.903539438785682,cosine
L0_D0_U260,L20_D4.8_U260,5,0.891257588630142,cosine
L0_D0_U260,L0_D9.6_U260,6,0.8522062025483166,cosine
L0_D0_U260,L0_D6_U260,7,0.8392400480034006,cosine
L0_D0_U260,L20_D9.6_U260,8,0.8388048620050241,cosine
L0_D0_U260,L0_D3.6_U240,9,0.8001211809955023,cosine
L0_D0_U260,L340_D0_U260,10,0.7941604386249405,cosine
L0_D0_U280,L0_D4.8_U280,1,0.9654319867316306,cosine
L0_D0_U280,L0_D1.2_U280,2,0.9582424990702183,cosine
L0_D0_U280,L0_D6_U280,3,0.9538817329502286,cosine
L0_D0_U280,L0_D3.6_U280,4,0.9397128661253416,cosine
L0_D0_U280,L0_D2.4_U280,5,0.9342053239644859,cosine
L0_D0_U280,L0_D7.2_U280,6,0.9174158151918872,cosine
L0_D0_U280,L340_D1.2_U280,7,0.916830474560335,cosine
L0_D0_U280,L0_D8.4_U280,8,0.9096110089699025,cosine
L0_D0_U280,L340_D0_U280,9,0.9091279834124828,cosine
L0_D0_U280,L0_D4.8_U80,10,0.9085553620374588,cosine
L0_D0_U300,L0_D4.8_U300,1,0.9831019488238277,cosine
L0_D0_U300,L0_D1.2_U300,2,0.9620754039236525,cosine
L0_D0_U300,L0_D6_U300,3,0.9480619087925368,cosine
L0_D0_U300,L0_D2.4_U300,4,0.9474121362751028,cosine
L0_D0_U300,L0_D3.6_U300,5,0.9285327395113817,cosine
L0_D0_U300,L340_D1.2_U300,6,0.9227903664304283,cosine
L0_D0_U300,L0_D7.2_U300,7,0.9225168807402191,cosine
L0_D0_U300,L340_D2.4_U300,8,0.9196377843996201,cosine
L0_D0_U300,L20_D6_U300,9,0.9122617106121387,cosine
L0_D0_U300,L340_D0_U300,10,0.9013505295310295,cosine
L0_D0_U320,L0_D4.8_U320,1,0.9768835149802862,cosine
L0_D0_U320,L0_D1.2_U320,2,0.9631405606753222,cosine
L0_D0_U320,L0_D3.6_U320,3,0.9628485011425509,cosine
L0_D0_U320,L0_D6_U320,4,0.9270050767200931,cosine
L0_D0_U320,L0_D9.6_U320,5,0.9173348986771122,cosine
L0_D0_U320,L0_D8.4_U320,6,0.9146148409282726,cosine
L0_D0_U320,L0_D2.4_U240,7,0.9065510131245297,cosine
L0_D0_U320,L0_D0_U340,8,0.896388029375281,cosine
L0_D0_U320,L0_D6_U140,9,0.8943495138196101,cosine
L0_D0_U320,L0_D4.8_U0,10,0.8736324751697395,cosine
L0_D0_U340,L0_D4.8_U340,1,0.9423072687468804,cosine
L0_D0_U340,L0_D3.6_U340,2,0.9402162302582862,cosine
L0_D0_U340,L0_D8.4_U340,3,0.9361144079404528,cosine
L0_D0_U340,L0_D4.8_U0,4,0.9356528304491704,cosine
L0_D0_U340,L0_D9.6_U340,5,0.9352457168060783,cosine
L0_D0_U340,L0_D6_U140,6,0.9236814336624833,cosine
L0_D0_U340,L20_D4.8_U340,7,0.922073217986077,cosine
L0_D0_U340,L0_D1.2_U340,8,0.9155659112896688,cosine
L0_D0_U340,L0_D0_U0,9,0.9131980459631592,cosine
L0_D0_U340,L20_D0_U340,10,0.9111556354554367,cosine
L0_D0_U40,L0_D1.2_U40,1,0.9792596322166399,cosine
L0_D0_U40,L0_D9.6_U40,2,0.9608112710569924,cosine
L0_D0_U40,L0_D2.4_U40,3,0.9483598572570938,cosine
L0_D0_U40,L0_D8.4_U40,4,0.9395780532117346,cosine
L0_D0_U40,L0_D6_U40,5,0.9386368887958405,cosine
L0_D0_U40,L20_D0_U40,6,0.9219252958018626,cosine
L0_D0_U40,L0_D4.8_U40,7,0.912679354064145,cosine
L0_D0_U40,L0_D7.2_U40,8,0.9091699464234315,cosine
L0_D0_U40,L340_D0_U40,9,0.9080440966433562,cosine
L0_D0_U40,L20_D2.4_U40,10,0.8946160594208781,cosine
L0_D0_U60,L0_D1.2_U60,1,0.976899355001319,cosine
L0_D0_U60,L0_D2.4_U60,2,0.9620458737204138,cosine
L0_D0_U60,L0_D6_U60,3,0.9620413142856431,cosine
L0_D0_U60,L0_D1.2_U80,4,0.9508544570169093,cosine
L0_D0_U60,L0_D3.6_U60,5,0.9447782906247423,cosine
L0_D0_U60,L340_D0_U60,6,0.9300355157240121,cosine
L0_D0_U60,L0_D7.2_U60,7,0.929438777307757,cosine
L0_D0_U60,L0_D8.4_U60,8,0.9275818628810458,cosine
L0_D0_U60,L0_D9.6_U60,9,0.9239157446388597,cosine
L0_D0_U60,L0_D2.4_U80,10,0.9184304844936457,cosine
L0_D0_U80,L0_D1.2_U280,1,0.9520786207159135,cosine
L0_D0_U80,L0_D2.4_U280,2,0.947358298963635,cosine
L0_D0_U80,L0_D4.8_U280,3,0.9231959413212141,cosine
L0_D0_U80,L0_D0_U280,4,0.9055587264576435,cosine
L0_D0_U80,L0_D3.6_U280,5,0.9028323651322323,cosine
L0_D0_U80,L340_D0_U80,6,0.892834374104465,cosine
L0_D0_U80,L0_D4.8_U80,7,0.8901299008555794,cosine
L0_D0_U80,L20_D4.8_U280,8,0.8821531977439612,cosine
L0_D0_U80,L0_D3.6_U80,9,0.8812105191077565,cosine
L0_D0_U80,L340_D1.2_U80,10,0.8694157974801828,cosine
L0_D1.2_U0,L0_D3.6_U0,1,0.9818754097219136,cosine
L0_D1.2_U0,L0_D2.4_U0,2,0.9529872177593162,cosine
L0_D1.2_U0,L0_D2.4_U340,3,0.9159219179593933,cosine
L0_D1.2_U0,L0_D6_U0,4,0.8952526339255173,cosine
L0_D1.2_U0,L0_D0_U20,5,0.8929790870562133,cosine
L0_D1.2_U0,L0_D6_U340,6,0.8901254584041077,cosine
L0_D1.2_U0,L0_D8.4_U0,7,0.8823981977298863,cosine
L0_D1.2_U0,L0_D9.6_U0,8,0.8659939232010121,cosine
L0_D1.2_U0,L340_D0_U0,9,0.858823391159079,cosine
L0_D1.2_U0,L340_D1.2_U0,10,0.8337041901483635,cosine
L0_D1.2_U100,L0_D2.4_U100,1,0.9851796485404167,cosine
L0_D1.2_U100,L20_D0_U120,2,0.8874482090512898,cosine
L0_D1.2_U100,L20_D1.2_U120,3,0.8869982797403062,cosine
L0_D1.2_U100,L20_D3.6_U100,4,0.8842174325633574,cosine
L0_D1.2_U100,L20_D2.4_U120,5,0.8808513181712664,cosine
L0_D1.2_U100,L20_D3.6_U120,6,0.8735573876901522,cosine
L0_D1.2_U100,L0_D1.2_U300,7,0.8220378985639526,cosine
L0_D1.2_U100,L0_D2.4_U300,8,0.816504390605218,cosine
L0_D1.2_U100,L0_D2.4_U280,9,0.8019089583371344,cosine
L0_D1.2_U100,L20_D1.2_U100,10,0.7931035559415642,cosine
L0_D1.2_U120,L0_D2.4_U120,1,0.9752534362600153,cosine
L0_D1.2_U120,L0_D0_U120,2,0.9669337901534202,cosine
L0_D1.2_U120,L0_D6_U120,3,0.9553758013241881,cosine
L0_D1.2_U120,L0_D3.6_U120,4,0.9552200517312323,cosine
L0_D1.2_U120,L340_D2.4_U120,5,0.9385444298391293,cosine
L0_D1.2_U120,L340_D3.6_U120,6,0.9188665499325831,cosine
L0_D1.2_U120,L0_D8.4_U120,7,0.9126862458394036,cosine
L0_D1.2_U120,L0_D7.2_U120,8,0.9095743320422851,cosine
L0_D1.2_U120,L0_D9.6_U120,9,0.8951622467910699,cosine
L0_D1.2_U120,L340_D1.2_U120,10,0.8875719114773035,cosine
L0_D1.2_U140,L20_D1.2_U140,1,0.9961685180842136,cosine
L0_D1.2_U140,L0_D2.4_U140,2,0.9723986913453769,cosine
L0_D1.2_U140,L0_D0_U140,3,0.9206296640088626,cosine
L0_D1.2_U140,L0_D6_U140,4,0.8980738064024756,cosine
L0_D1.2_U140,L0_D2.4_U240,5,0.8953458365902996,cosine
L0_D1.2_U140,L340_D2.4_U140,6,0.8952416472014703,cosine
L0_D1.2_U140,L0_D9.6_U140,7,0.8946680649209338,cosine
L0_D1.2_U140,L340_D1.2_U140,8,0.8892389885277004,cosine
L0_D1.2_U140,L340_D4.8_U140,9,0.8889611450702247,cosine
L0_D1.2_U140,L0_D8.4_U140,10,0.8837133689342805,cosine
L0_D1.2_U160,L0_D0_U160,1,0.9925021311695688,cosine
L0_D1.2_U160,L0_D2.4_U160,2,0.9790722478663777,cosine
L0_D1.2_U160,L0_D0_U180,3,0.9048300318368168,cosine
L0_D1.2_U160,L0_D7.2_U160,4,0.9011248121525083,cosine
L0_D1.2_U160,L340_D1.2_U160,5,0.8978585588248734,cosine
L0_D1.2_U160,L0_D8.4_U160,6,0.8971262847876459,cosine
L0_D1.2_U160,L340_D0_U160,7,0.894532412899895,cosine
