query_structure_id,neighbor_rank,neighbor_structure_id,metric,score,cluster_label,energy,delta_energy,lower_rotation,displacement,upper_rotation,relative_cif_path,query_energy,query_delta_energy,query_cluster_label,query_lower_rotation,query_displacement,query_upper_rotation,same_cluster,energy_difference,delta_energy_difference,lower_rotation_difference,displacement_difference,upper_rotation_difference
L0_D0_U200,1,L0_D7.2_U200,cosine_similarity,0.9688531742439402,2,-936.1697387695312,0.4700900018215179,0.0,7.199999809265137,200.0,r0/t7.2/t7.2_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.26373291015625,-0.2637099921703339,0.0,7.199999809265137,0.0
L0_D0_U200,2,L0_D9.6_U200,cosine_similarity,0.9599545633182202,2,-936.0115356445312,0.6282899975776672,0.0,9.600000381469728,200.0,r0/t9.6/t9.6_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.10552978515625,-0.10550999641418457,0.0,9.600000381469728,0.0
L0_D0_U200,3,L0_D8.4_U200,cosine_similarity,0.957515761452158,2,-935.9815063476562,0.65829998254776,0.0,8.399999618530273,200.0,r0/t8.4/t8.4_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.07550048828125,-0.0755000114440918,0.0,8.399999618530273,0.0
L0_D0_U200,4,L0_D6_U200,cosine_similarity,0.9543785405553373,2,-936.2504272460938,0.3893699944019317,0.0,6.0,200.0,r0/t6.0/t6.0_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.34442138671875,-0.3444299995899201,0.0,6.0,0.0
L0_D0_U200,5,L0_D1.2_U200,cosine_similarity,0.9514486142029999,2,-936.0697021484376,0.5700899958610535,0.0,1.2000000476837158,200.0,r0/t1.2/t1.2_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.1636962890626137,-0.16370999813079834,0.0,1.2000000476837158,0.0
L0_D0_U200,6,L0_D9.6_U220,cosine_similarity,0.9164550233256622,2,-936.1178588867188,0.5219600200653076,0.0,9.600000381469728,220.0,r0/t9.6/t9.6_220.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.21185302734375,-0.2118399739265442,0.0,9.600000381469728,20.0
L0_D0_U200,7,L340_D0_U200,cosine_similarity,0.9051666907061743,2,-935.9463500976562,0.6934400200843811,340.0,0.0,200.0,r340/t0/t0_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.04034423828125,-0.0403599739074707,340.0,0.0,0.0
L0_D0_U200,8,L0_D2.4_U200,cosine_similarity,0.895400599164843,2,-936.1932983398438,0.4464800059795379,0.0,2.400000095367432,200.0,r0/t2.4/t2.4_200.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.28729248046875,-0.2873199880123139,0.0,2.400000095367432,0.0
L0_D0_U200,9,L20_D8.4_U220,cosine_similarity,0.8693634118171272,2,-935.998291015625,0.6415299773216248,20.0,8.399999618530273,220.0,r20/t8.4/t8.4_220.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.09228515625,-0.09227001667022705,20.0,8.399999618530273,20.0
L0_D0_U200,10,L20_D7.2_U220,cosine_similarity,0.8584975098837465,2,-936.17529296875,0.4645299911499023,20.0,7.199999809265137,220.0,r20/t7.2/t7.2_220.cif,-935.906005859375,0.7337999939918518,2,0.0,0.0,200.0,True,-0.269287109375,-0.2692700028419495,20.0,7.199999809265137,20.0
