epoch,train_loss
1,2.5807018600537126
2,2.040353307181098
3,1.8973686222513353
4,1.7961771556869945
5,1.7261155194542863
6,1.6715670157688962
7,1.632768482174239
8,1.593622571646922
9,1.5523279792487377
10,1.5286781900704152
11,1.5055766060682645
12,1.5013088115448814
13,1.4779360345034607
14,1.4706869297066834
15,1.4466736415613173
16,1.4290252875725755
17,1.4045256139156095
18,1.3923684564637548
19,1.3930274769766013
20,1.3720235156587777
21,1.3660941133773867
22,1.3626274491043249
23,1.3493556600212233
24,1.337022984714665
25,1.3291622485316503
26,1.3115836465309676
27,1.3047553875645819
28,1.3047888475190466
29,1.3028282943412928
30,1.3045095573236913
31,1.3042336951721516
32,1.2923519518149733
33,1.2862338413917478
34,1.276693973194588
35,1.2755487950413968
36,1.2631906446769567
37,1.25848677079864
38,1.2554035965961357
39,1.2545534279120802
40,1.2561310296686587
41,1.242603163496784
42,1.2511693696262742
43,1.2453818409531205
44,1.2427924198541784
45,1.2389291892816992
46,1.2317314949218792
47,1.2223189859069752
48,1.23160249689806
49,1.2182846560726768
50,1.226725196723912
51,1.2209590160797652
52,1.214383490455167
53,1.2144422538486528
54,1.2145186194994158
55,1.2126280450363054
56,1.2175184438421567
57,1.2124805290185539
58,1.2000300752609683
59,1.2096105681525335
60,1.193273471461402
61,1.18562575802718
62,1.190114586359843
63,1.1997339686248527
64,1.1865438816478713
65,1.1870290311602736
66,1.1880929430816398
67,1.1872942710119019
68,1.1775188616927923
69,1.1768000330290513
70,1.1778004916770632
71,1.178075162798616
72,1.168683696430897
73,1.1695789905732552
74,1.1706004095339153
75,1.1794554099788064
76,1.179817551284497
77,1.164123544885952
78,1.1659883488025848
79,1.1608126986010412
80,1.1602542115827648
81,1.1600679863954604
82,1.1671690690664598
83,1.1633925180376312
84,1.154459638360106
85,1.1532266353383476
86,1.1487005590084323
87,1.144684113592768
88,1.1536576129772045
89,1.144643534276384
90,1.1494260530085885
91,1.1387207753373763
92,1.1491290518122281
93,1.1466014906866233
94,1.1420579134845603
95,1.137288640801308
96,1.139993626149103
97,1.1375218585685447
98,1.1466691241342835
99,1.1339091483621113
100,1.133222524030709
