atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
62,H63,H,1,0.2994166427310525,0.3165657608883545,0.0346137206228798,5.991848762455955,5.74034385315419,0.9559331161497424,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,0,0,lower
98,H99,H,1,0.7976185876752123,0.3196905704664587,0.0348418103489645,15.343703498390902,5.796981159944656,0.962232309611013,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,1,0,lower
128,O129,O,8,0.1987220457963185,0.3288995767431446,0.0569536723463432,4.07092350134695,5.968694424297962,1.572899431279969,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,2,0,lower
146,O147,O,8,0.6976260338237644,0.3332884279426181,0.0583357643305873,13.435211415355491,6.048480226927244,1.6110689049317164,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,3,0,lower
11,C12,C,6,0.2712228305085473,0.3003417232032066,0.0658280006200223,5.371195104023907,5.453535437453364,1.817983291891771,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,4,0,lower
35,C36,C,6,0.7699059870907704,0.3040594341373816,0.0664198641063494,14.732122171853788,5.52099085506077,1.834328888280676,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,5,0,lower
61,H62,H,1,0.2764036873769449,0.2393739256803682,0.0680886259920341,5.376798271348383,4.3499938479993245,1.8804153742402363,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,6,0,lower
97,H98,H,1,0.7745874161628158,0.2431029846174874,0.0689103757478687,14.72786540573041,4.417706227147884,1.9031097795412089,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,7,0,lower
65,H66,H,1,0.1703662989234304,0.3137505758014557,0.0830747609721361,3.459950699640327,5.70021333123795,2.294290058983032,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,8,0,lower
101,H102,H,1,0.6695914461729601,0.3172700088662518,0.0844032880262453,12.829146821041146,5.764243108651627,2.3309802206839496,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,9,0,lower
95,H96,H,1,0.9151784103506794,0.3422228908559299,0.089819125176208,17.460729292676206,6.217319836271187,2.480550333060175,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,10,0,lower
59,H60,H,1,0.414908572819736,0.342683609534706,0.0899743938818106,8.074326960400223,6.2256976130015405,2.4848384157891115,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,11,0,lower
96,H97,H,1,0.7933464661263502,0.3963847254010364,0.1109095876033582,15.205383587284206,7.202841808162432,3.063009285932701,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,12,0,lower
60,H61,H,1,0.2916917947707923,0.392160957988005,0.1115439399874115,5.785287498445536,7.126496873864621,3.0805283055674835,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,13,0,lower
10,C11,C,6,0.3069696298947565,0.3320136150263451,0.1116159991606344,5.986318349183928,6.037322703803731,3.082518376232138,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,14,0,lower
34,C35,C,6,0.8067938042075657,0.3359016919924055,0.1117524028432574,15.369897593307623,6.107761266691454,3.086285460354782,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,15,0,lower
9,C10,C,6,0.3884977447250736,0.318547128322155,0.1197030859319862,7.479148227727645,5.795272542381416,3.3058608519555266,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,16,0,lower
33,C34,C,6,0.8880754589629232,0.3200095788867999,0.1198883038676419,16.854548822092926,5.82179708782562,3.3109760477568457,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,17,0,lower
127,O128,O,8,0.4114846268820639,0.2415954695122804,0.1211948294864064,7.797826638415486,4.402111846980971,3.347058592008082,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,18,0,lower
145,O146,O,8,0.909049678225022,0.2426250792542823,0.122426402614968,17.132548706114374,4.421032451362948,3.381071160358624,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,19,0,lower
58,H59,H,1,0.051988142300818,0.3463584391645511,0.1236835166061591,1.1958910398566711,6.299790365823838,3.415789095135053,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,20,0,lower
94,H95,H,1,0.5515732310837089,0.3450683006046742,0.1237497182730319,10.567779908977965,6.276442451642667,3.417617398032553,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,21,0,lower
123,O124,O,8,0.092684958641499,0.308843168814703,0.1260938768389405,1.9008896375598043,5.620977119638503,3.4823564310614623,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,22,0,lower
141,O142,O,8,0.5934332212444557,0.3090129553949563,0.1271404461549742,11.294523923711797,5.624286026486738,3.511259717086181,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,23,0,lower
64,H65,H,1,0.3755655493440787,0.2171758864957942,0.1377197105083657,7.052852960747528,3.9636042732315135,3.803429092637929,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,24,0,lower
100,H101,H,1,0.8722706191238859,0.219864499168466,0.1391146747648934,16.373437459013836,4.012603844954144,3.841954062062296,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,25,0,lower
51,H52,H,1,0.0554275840313238,0.2125172340476798,0.151649524393773,1.008777362769342,3.882360549963808,4.188131174796108,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,26,0,lower
124,O125,O,8,0.2785819212799324,0.2977708418049904,0.152149596881371,5.315942780062201,5.426304665552116,4.201941763278596,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,27,0,lower
142,O143,O,8,0.7772326968963239,0.3041687826650638,0.1526859476093382,14.68019304608681,5.542283140347961,4.216754254207291,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,28,0,lower
87,H88,H,1,0.5580079858524338,0.2126178490284048,0.1539964045823999,10.43383308577129,3.884707945573679,4.252945371350907,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,29,0,lower
93,H94,H,1,0.8949157865296892,0.4194710585662403,0.1609547081805559,17.03399980643712,7.632108781368398,4.445114046720189,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,30,0,lower
57,H58,H,1,0.3928545480221668,0.4170398716718227,0.1619415113599418,7.608048091730027,7.588304055339277,4.472366761000008,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,31,0,lower
3,C4,C,6,0.0808090548834027,0.2618047120917072,0.1655435498973966,1.5245283407168315,4.778003208769997,4.571844883017456,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,32,0,lower
32,C33,C,6,0.9110195510111132,0.3601662789944133,0.16663630848605,17.239398970037083,6.559448131427289,4.60202378618224,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,33,0,lower
8,C9,C,6,0.4103431360810644,0.3579133894952638,0.1669853547840595,7.841085878926216,6.51872936708176,4.611663458235182,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,34,0,lower
27,C28,C,6,0.5822426575056905,0.2629220336777356,0.1672061854517035,10.931014662805577,4.798608661418069,4.617762177022519,L160_D8.4_U300,r160/t8.4/t8.4_300.cif,35,0,lower
