atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
93,H94,H,1,0.9005247947688151,0.2628376007386128,0.1033126382385692,17.112164572202175,4.775263614696812,2.861572321686157,L60_D0_U180,r60/t0/t0_180.cif,0,0,lower
57,H58,H,1,0.3986189233967878,0.2613332118670252,0.1056092653217739,7.709387138894324,4.748472633731926,2.9251847180645885,L60_D0_U180,r60/t0/t0_180.cif,1,0,lower
91,H92,H,1,0.7690313008042977,0.3100429276104837,0.109824231161145,14.712440308478197,5.630639636247662,3.0419316116532,L60_D0_U180,r60/t0/t0_180.cif,2,0,lower
99,H100,H,1,0.919124277207827,0.4137644270902781,0.1107924766884892,17.678322071671246,7.507608742227014,3.068750253098078,L60_D0_U180,r60/t0/t0_180.cif,3,0,lower
63,H64,H,1,0.4177880250132105,0.4125221620376247,0.1112965049997436,8.289147372332328,7.485224995392312,3.082710921312757,L60_D0_U180,r60/t0/t0_180.cif,4,0,lower
143,O144,O,8,0.8683841570344027,0.405194769178443,0.1120962732351427,16.71348531856713,7.35278935126573,3.1048630479567114,L60_D0_U180,r60/t0/t0_180.cif,5,0,lower
55,H56,H,1,0.2675697474319104,0.3103930791564497,0.1129606761491565,5.319599517224361,5.637562922568315,3.128805437733022,L60_D0_U180,r60/t0/t0_180.cif,6,0,lower
125,O126,O,8,0.3670759394200062,0.4043502869694979,0.1134333032044015,7.324257114833041,7.3377593080521875,3.1418963482240114,L60_D0_U180,r60/t0/t0_180.cif,7,0,lower
86,H87,H,1,0.6172061474282037,0.4657118338708526,0.1223383931499005,12.087761136821848,8.449733241165758,3.3885511558509487,L60_D0_U180,r60/t0/t0_180.cif,8,0,lower
50,H51,H,1,0.1184520073713739,0.466977353160723,0.1252704875881524,2.747287178579584,8.473181365066525,3.4697648430834493,L60_D0_U180,r60/t0/t0_180.cif,9,0,lower
96,H97,H,1,0.8090513350055605,0.1908301884446605,0.1278944535744863,15.255627284475066,3.476930434774805,3.54244393218192,L60_D0_U180,r60/t0/t0_180.cif,10,0,lower
60,H61,H,1,0.3091605458132797,0.1913940044025876,0.1306781695175495,5.893019564229407,3.487653801929093,3.6195478047566514,L60_D0_U180,r60/t0/t0_180.cif,11,0,lower
85,H86,H,1,0.6578992450979689,0.3217029612393491,0.134856175264824,12.613875975786652,5.846310622880857,3.7352709709644336,L60_D0_U180,r60/t0/t0_180.cif,12,0,lower
49,H50,H,1,0.1580569186919172,0.3226987587647092,0.1375933846868571,3.252895612915039,5.864841765749121,3.8110866974262954,L60_D0_U180,r60/t0/t0_180.cif,13,0,lower
144,O145,O,8,0.987066133650366,0.2944976200813474,0.1401932178022601,18.728151137954267,5.355043475123078,3.883097349858388,L60_D0_U180,r60/t0/t0_180.cif,14,0,lower
