atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
98,H99,H,1,0.8039099305584272,0.2477672575493332,0.0229902625596632,15.414349589043466,4.428133830754494,0.645325471190109,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,0,0,lower
62,H63,H,1,0.3058473559709441,0.2388507682060608,0.0250580810079576,6.068478634292303,4.269496934679453,0.7033681277721368,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,1,0,lower
146,O147,O,8,0.7009312877033891,0.2730987503177249,0.0406383844416907,13.498073928524772,4.884666172603969,1.1406996557860551,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,2,0,lower
128,O129,O,8,0.2025872434214928,0.2634315275382442,0.0421559005387151,4.146604932383705,4.712492533351822,1.1832955934274565,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,3,0,lower
35,C36,C,6,0.7731265921356927,0.2493993461518546,0.0552342491985589,14.789597148316176,4.46528326002793,1.5503984696734188,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,4,0,lower
11,C12,C,6,0.2748888187089611,0.2414040451452851,0.0572321148678559,5.442019005701099,4.323071330085666,1.606477585823909,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,5,0,lower
101,H102,H,1,0.6704481339526499,0.271384266498995,0.0679320264247663,12.88142304714903,4.860851364969513,1.9068188911585648,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,6,0,lower
95,H96,H,1,0.9148888580442508,0.2998914874541083,0.0679444474952751,17.504951486649123,5.3696820303176604,1.90716754455728,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,7,0,lower
65,H66,H,1,0.1720262846141405,0.2642857088596542,0.0695140619591867,3.532477432846756,4.734542071246518,1.9512258579794035,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,8,0,lower
59,H60,H,1,0.4160360853745607,0.2928438467293297,0.0696255874821451,8.147859720900193,5.244306200947973,1.954356325083295,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,9,0,lower
97,H98,H,1,0.7787126210668368,0.1923309370512403,0.0708553762700158,14.778917789296424,3.450549368485874,1.9888758973125125,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,10,0,lower
61,H62,H,1,0.2812202679164101,0.1850034304317091,0.0738384606113602,5.444810337895957,3.32050194747299,2.0726096216743874,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,11,0,lower
60,H61,H,1,0.2901409342295,0.3542764950664261,0.0770214950571136,5.875893470757679,6.342661410045277,2.1619558480686893,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,12,0,lower
96,H97,H,1,0.7896932620231127,0.3610621206145921,0.077054632437914,15.242970777222498,6.4637868020021285,2.162885998206104,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,13,0,lower
34,C35,C,6,0.805261879643907,0.3033855880946057,0.0904751779417667,15.42175982324556,5.43765124733117,2.539594173174807,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,14,0,lower
10,C11,C,6,0.3059864236162256,0.2972810261198222,0.0915060854758636,6.059274467835546,5.328946808855195,2.5685312454882703,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,15,0,lower
58,H59,H,1,0.0509947186667287,0.3170796462869102,0.0989855329741578,1.303100839098659,5.684193825048017,2.77847569342802,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,16,0,lower
94,H95,H,1,0.550371683655569,0.3183014258894309,0.0990797807378127,10.657955071984984,5.706024899738281,2.781121182244486,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,17,0,lower
33,C34,C,6,0.8865371882980231,0.292987268301361,0.1007459985498621,16.911298251858042,5.254604897032927,2.8278911045920774,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,18,0,lower
9,C10,C,6,0.38713525127568,0.2877919672771699,0.1023836544341486,7.546933267961889,5.162280808016015,2.8738593075402528,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,19,0,lower
141,O142,O,8,0.5928880325336418,0.2850426032017507,0.1094761647826892,11.385030185516712,5.114970901292848,3.072942618168598,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,20,0,lower
123,O124,O,8,0.0931197222236715,0.283731979209477,0.1099625616989716,2.0217904345877544,5.09169842593935,3.086595542678304,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,21,0,lower
57,H58,H,1,0.3868799742491691,0.405048457551966,0.1176010873539477,7.704531753653136,7.258985048881346,3.301005236987049,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,22,0,lower
93,H94,H,1,0.8885382069762694,0.4093186588050961,0.1182034769339486,17.10615718623636,7.335353996066902,3.317914019065778,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,23,0,lower
145,O146,O,8,0.910398696260002,0.219772107309651,0.1189126666855393,17.21323771558757,3.952299393722988,3.337820629937262,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,24,0,lower
127,O128,O,8,0.410775154566864,0.2157120297208986,0.1224065735681666,7.843602375264811,3.8806995913762794,3.435892894204557,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,25,0,lower
142,O143,O,8,0.7739833326305215,0.292979608772427,0.135365230110193,14.748680689122486,5.263076991221558,3.799636071006992,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,26,0,lower
32,C33,C,6,0.9052711051659053,0.3548831967719231,0.1357232876897929,17.30544627266703,6.368087927140631,3.809686572851798,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,27,0,lower
8,C9,C,6,0.4048145001592645,0.3516432442640779,0.1360333792761752,7.926526658877757,6.3103348768354905,3.818390692631856,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,28,0,lower
124,O125,O,8,0.2741163214315334,0.2885924654003085,0.136457650847298,5.377748342171392,5.185042185875365,3.830299788965002,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,29,0,lower
100,H101,H,1,0.8736175418040013,0.2056074003066506,0.1396910818402948,16.469104947158634,3.704639446120901,3.9210606218916064,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,30,0,lower
64,H65,H,1,0.3733386542582853,0.2026118367455285,0.1429959087352352,7.0891849553964414,3.651993217654566,4.013825503007885,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,31,0,lower
144,O145,O,8,0.9818967918256022,0.3567640962840887,0.1430436769650916,18.73206212131952,6.4034806178133215,4.015166333951422,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,32,0,lower
126,O127,O,8,0.4811937511451589,0.3558533523844535,0.143073717688608,9.352669741141202,6.387232150256873,4.016009562427293,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,33,0,lower
91,H92,H,1,0.7640436802760974,0.4066251650624998,0.1505238363375722,14.719250027679108,7.295314765512184,4.22513076385282,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,34,0,lower
55,H56,H,1,0.2634303646953248,0.4025554093617934,0.1507147027094995,5.336264346148204,7.222720846386659,4.230488289939294,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,35,0,lower
87,H88,H,1,0.558367700969724,0.2053743086078593,0.1547943609685721,10.540484387056464,3.7042347267104807,4.345002310016202,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,36,0,lower
51,H52,H,1,0.0562303003085936,0.2048994925131962,0.154825652035749,1.134918048977129,3.6957674789549766,4.345880635029569,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,37,0,lower
27,C28,C,6,0.5798209457055568,0.2606945290649578,0.1564307936644896,11.027632212720718,4.692056524886396,4.390936178662693,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,38,0,lower
3,C4,C,6,0.0787303519153262,0.2596793705115253,0.1566917622045349,1.6404514716971,4.674001777276756,4.39826143846055,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,39,0,lower
85,H86,H,1,0.6572861326220838,0.3700738481558956,0.1615282398259452,12.644315277904182,6.645643981835528,4.534019009381599,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,40,0,lower
49,H50,H,1,0.1573654431650242,0.3673753654645884,0.1622743355546029,3.275606809345678,6.597664089600086,4.554961553051967,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,41,0,lower
30,C31,C,6,0.7847035337927818,0.3526720773197077,0.1681453571374061,14.992695268199194,6.3366839247180815,4.719758269029328,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,42,0,lower
6,C7,C,6,0.2845792718104136,0.3490352610215797,0.1686879145803379,5.619003360999409,6.271905029724833,4.734987592165549,L140_D2.4_U340,r140/t2.4/t2.4_340.cif,43,0,lower
