atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
97,H98,H,1,0.7668010045260362,0.361241241909231,0.0876868243200818,14.74864969527968,6.836161927451638,2.3609403036317693,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,0,0,lower
61,H62,H,1,0.2660982117442894,0.3661400178658659,0.088296613796529,5.35830787034851,6.928020491760807,2.377358694454312,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,1,0,lower
98,H99,H,1,0.790341806556293,0.4502310576608569,0.0967935443274086,15.32513318008235,8.501960635556495,2.606135889923103,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,2,0,lower
62,H63,H,1,0.2890261042733517,0.4553841497768523,0.0972344009677268,5.924401545068213,8.598294933319321,2.6180058169996223,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,3,0,lower
35,C36,C,6,0.7641340096045736,0.4064090011628306,0.1126741917200554,14.690831809765486,7.711406954567998,3.033717351194908,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,4,0,lower
11,C12,C,6,0.2639142438351565,0.4110661445496772,0.1134937026101537,5.308313721099368,7.799084899447498,3.0557824254486587,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,5,0,lower
146,O147,O,8,0.6916502062719238,0.4348820453016767,0.115205344456742,13.374949023642774,8.243834386658007,3.1018678465176435,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,6,0,lower
128,O129,O,8,0.1915536302335304,0.4387415233408177,0.1173033732061281,3.988452571933646,8.318567828630103,3.158356614026463,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,7,0,lower
101,H102,H,1,0.665999251142874,0.3989457049792925,0.1308914085398648,12.766774770281618,7.599430139072506,3.524210213074462,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,8,0,lower
65,H66,H,1,0.1668136016013874,0.402252815025912,0.1331656811822279,3.3956690673822747,7.664163858820037,3.585444292246975,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,9,0,lower
127,O128,O,8,0.4046537162897816,0.3115071905057183,0.1339742193899373,7.684480334340851,5.980245462816944,3.607213930461255,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,10,0,lower
145,O146,O,8,0.9050671513162,0.3067024957831689,0.1354886149659264,17.061630878359114,5.893237069889215,3.647988557421665,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,11,0,lower
64,H65,H,1,0.3680265462181643,0.2781677758603295,0.1358724779915862,6.926754131185114,5.363922772326198,3.6583239492593935,L200_D3.6_U240,r200/t3.6/t3.6_240.cif,12,0,lower
