atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
93,H94,H,1,0.898351594483148,0.3014164794078648,0.133560464361286,17.09421456765212,5.638702583961939,3.6186833732892136,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,0,0,lower
57,H58,H,1,0.3980235218954343,0.300270837822128,0.1352674706955981,7.719225088891939,5.618344432168721,3.664932953729163,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,1,0,lower
96,H97,H,1,0.8062919052209565,0.2236479268773682,0.1415903971025607,15.233893409482445,4.204460330649595,3.836246139624607,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,2,0,lower
60,H61,H,1,0.3088495758428479,0.2220282473741517,0.1438917522277303,5.911264096467317,4.175624196282803,3.8985989890798014,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,3,0,lower
55,H56,H,1,0.2675399536239509,0.3409972905830702,0.1517245957836747,5.314315118879744,6.379457813852483,4.11082182670635,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,4,0,lower
91,H92,H,1,0.767136629583362,0.3424365143237053,0.1518122928682984,14.673256046585747,6.406115188905475,4.113197888990435,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,5,0,lower
95,H96,H,1,0.9338640326600568,0.1826205593851693,0.1728170259456847,17.508955192389532,3.460901514311073,4.682299521805272,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,6,0,lower
63,H64,H,1,0.4195994824122328,0.4360594522049199,0.1729485329843892,8.27991540436295,8.147685854555622,4.685862569722979,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,7,0,lower
125,O126,O,8,0.3687700277481066,0.4277095148331038,0.1730137672720307,7.314577308838075,7.993306205139689,4.687630025632822,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,8,0,lower
143,O144,O,8,0.8695052460045765,0.4272584555767769,0.1733140451642814,16.69150466675783,7.985110576798937,4.695765746193921,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,9,0,lower
32,C33,C,6,0.9124618039967676,0.2989530181832578,0.1736077574328213,17.291709618493773,5.612563742024656,4.703723577935365,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,10,0,lower
146,O147,O,8,0.7240534867447231,0.1327624709158228,0.1741444413029739,13.49817929473402,2.5395440393123163,4.718264475250459,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,11,0,lower
99,H100,H,1,0.9202228035088518,0.4363718694087573,0.1742743971608572,17.65435037976469,8.15410607069839,4.721785495519688,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,12,0,lower
94,H95,H,1,0.563040389972455,0.2380790573641365,0.1746165880895638,10.649202680391705,4.48734070277946,4.7310568066829335,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,13,0,lower
8,C9,C,6,0.4125305427111134,0.2998816277748823,0.1752527266996841,7.927544877539749,5.630533616938068,4.748292327857245,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,14,0,lower
144,O145,O,8,0.9875664290436268,0.3113247765083534,0.1761157030226713,18.714041067241396,5.842564538432691,4.771673783488372,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,15,0,lower
58,H59,H,1,0.0638436062606831,0.2337090887053235,0.1764598917933618,1.2900639613099578,4.4074227421054575,4.780999224124765,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,16,0,lower
126,O127,O,8,0.4870496747656534,0.3141746287361183,0.1765695831585531,9.343832804584654,5.895485513153185,4.783971198812854,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,17,0,lower
59,H60,H,1,0.4361727593727471,0.1836376484373032,0.1771778391687111,8.18262038734369,3.481824359859833,4.800451269627134,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,18,0,lower
128,O129,O,8,0.2263035657855997,0.1320998622134822,0.1783995468527296,4.1682432740090185,2.529353810002588,4.8335521824183525,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,19,0,lower
49,H50,H,1,0.1579023327682264,0.3398717906871426,0.1787668904265377,3.216713189579186,6.371755822146153,4.843504978623284,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,20,0,lower
85,H86,H,1,0.6593965592303969,0.3410300310608581,0.1790364095459935,12.610460942055088,6.393305265748603,4.8508073218804935,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,21,0,lower
98,H99,H,1,0.8298637106916078,0.0974293111474354,0.1802397192354155,15.41416138805209,1.889100589269,4.883409759936192,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,22,0,lower
34,C35,C,6,0.8202454766095644,0.2135325725700383,0.1814382538464506,15.416610385141958,4.03672210417542,4.915882822155655,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,23,0,lower
62,H63,H,1,0.3323112252974758,0.0974967537548762,0.1838182626871164,6.090144902924032,1.8920828113460224,4.980366713112348,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,24,0,lower
10,C11,C,6,0.3218862860159286,0.2135743090601316,0.1839837899197243,6.0790658942012366,4.0387281071502406,4.984851503183492,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,25,0,lower
101,H102,H,1,0.6893409097673977,0.1686332557944431,0.1879566918236198,12.883371169697527,3.209581592750721,5.092493192901237,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,26,0,lower
30,C31,C,6,0.786379102329543,0.3397176461648179,0.1914131746081749,14.96716654587747,6.375036792032141,5.186143037878535,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,27,0,lower
6,C7,C,6,0.2857867940520776,0.3399058898577317,0.1915050033291189,5.591882702715663,6.37856241260362,5.18863104259804,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,28,0,lower
65,H66,H,1,0.1915792779893184,0.1683905002197438,0.1917606862679669,3.5545909383124665,3.206936781478281,5.195558508776507,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,29,0,lower
33,C34,C,6,0.8999680690199435,0.2228831746535908,0.1924346739483489,16.90730705986426,4.214969741737964,5.213819511569987,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,30,0,lower
35,C36,C,6,0.7940317395859293,0.1408545179916308,0.195142175916168,14.78867994152722,2.699366927262857,5.287176491878111,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,31,0,lower
9,C10,C,6,0.4012458165255784,0.2243385654397066,0.1956472457409373,7.564161982006389,4.243441166107552,5.300860839158447,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,32,0,lower
31,C32,C,6,0.8644193832117688,0.3592779543466361,0.1969717301405123,16.45111217192007,6.739450972463245,5.336746381319773,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,33,0,lower
7,C8,C,6,0.3636109407052504,0.3604508091422661,0.1975227718625185,7.072624023372118,6.761407168217004,5.351676289859311,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,34,0,lower
11,C12,C,6,0.2964804341024183,0.1409902257162399,0.1986490581810573,5.464906492200552,2.7035767979451246,5.382191858923481,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,35,0,lower
141,O142,O,8,0.603646164953999,0.2333499309456799,0.1993126059620584,11.363420043648654,4.411861040505139,5.40017000338393,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,36,0,lower
50,H51,H,1,0.1200635208659606,0.478011604809485,0.1997905293976798,2.69452306653712,8.936500553273767,5.413118847178827,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,37,0,lower
86,H87,H,1,0.6227186987768517,0.4788870623615429,0.2010195188922973,12.108058681158877,8.953285827963061,5.446417053136613,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,38,0,lower
123,O124,O,8,0.1043119409724079,0.2310138301269019,0.2012295987945138,2.004823037102144,4.3695901235544286,5.452108951954491,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,39,0,lower
138,O139,O,8,0.5449701622143719,0.4085134762986153,0.2037144865964918,10.535889508294762,7.6532084146365955,5.5194344304672285,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,40,0,lower
120,O121,O,8,0.0428329969408591,0.4072437462634779,0.2039344704054873,1.129154911150969,7.629834580738293,5.525394665450024,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,41,0,lower
142,O143,O,8,0.7818364222603157,0.2675006092424378,0.2097430986607509,14.738578314147162,5.048449881771402,5.682773472041186,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,42,0,lower
124,O125,O,8,0.2817920214925483,0.2681133668069282,0.2108684205834602,5.3726084057092045,5.060326912307016,5.713262911792538,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,43,0,lower
1,C2,C,6,0.1681725508232288,0.3656143703257824,0.2144300994429517,3.393985621422436,6.865091795677205,5.80976293619327,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,44,0,lower
25,C26,C,6,0.6696529613882057,0.3659305449689686,0.2149830356938686,12.785691889119729,6.871206745997178,5.824744175044532,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,45,0,lower
122,O123,O,8,0.2403759161165751,0.3865954130309264,0.2181173412911411,4.773807890866991,7.254871622453324,5.909664960592092,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,46,0,lower
140,O141,O,8,0.7421950334965556,0.3858226614091445,0.2192766060652235,14.169175916565074,7.241143571249286,5.941074046980593,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,47,0,lower
4,C5,C,6,0.0216926751514761,0.3379339283900068,0.2193881836164699,0.5988480090285638,6.355614923350586,5.944097125939313,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,48,0,lower
28,C29,C,6,0.5225978146000163,0.3399775867762778,0.2196064892550739,9.983050084698547,6.393513135424279,5.950011892621877,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,49,0,lower
2,C3,C,6,0.1120805445258543,0.4292664010922744,0.2212911628860954,2.433818465556213,8.045503993138434,5.995656391442318,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,50,0,lower
26,C27,C,6,0.6140474683071722,0.4298693862780792,0.2219978715772272,11.834850823835186,8.056997345326366,6.014803936358304,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,51,0,lower
97,H98,H,1,0.7972434093418028,0.134007612915566,0.2357477663590446,14.77421882308679,2.592437905562349,6.387343189417844,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,52,0,lower
92,H93,H,1,0.8773985345490068,0.3621092211165269,0.2371414449118033,16.635644201192278,6.811284282260146,6.425103475971918,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,53,0,lower
56,H57,H,1,0.375930346001228,0.3645148845242209,0.2377060573061527,7.246737282880891,6.856044779965737,6.440401067916931,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,54,0,lower
27,C28,C,6,0.5832622532724774,0.2813502511946218,0.2379857002261761,10.99722007053042,5.318257773152907,6.447977705135031,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,55,0,lower
3,C4,C,6,0.082994569016387,0.2804650511907998,0.2387635733782908,1.6252337130137735,5.30226535357202,6.469053377906513,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,56,0,lower
61,H62,H,1,0.3004697987001643,0.1348918612185893,0.2393130421783296,5.466108223808478,2.610518480194705,6.483940669743587,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,57,0,lower
145,O146,O,8,0.9206393697417028,0.2127636966521961,0.24385905830291,17.197661683865537,4.052768080209907,6.607110299644125,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,58,0,lower
127,O128,O,8,0.420736782592225,0.2166504334025833,0.2473534940376042,7.835831049210064,4.126337847956178,6.701788440758998,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,59,0,lower
88,H89,H,1,0.9836958448607124,0.3466396658600947,0.2485238678183277,18.584009961665256,6.530732130179732,6.733498514253361,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,60,0,lower
52,H53,H,1,0.4853012454507516,0.3493170068528328,0.2491443237257405,9.25301134217338,6.580543703066665,6.750309128732363,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,61,0,lower
24,C25,C,6,0.6494090206364888,0.3176683400831585,0.2572169557886124,12.263580688596678,5.999194477169069,6.969028789256868,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,62,0,lower
0,C1,C,6,0.1488291968546167,0.317887278369579,0.2572822687337364,2.888621050018617,6.003274861692245,6.970798376310274,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,63,0,lower
100,H101,H,1,0.8800474216308789,0.2338089979909353,0.2615148578220971,16.443152928133838,4.450508796618875,7.08547602312187,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,64,0,lower
64,H65,H,1,0.3795051016796221,0.2380915177204396,0.2641864175336617,7.071261317982057,4.530998616615617,7.157859184974594,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,65,0,lower
87,H88,H,1,0.5617723001654489,0.2508089857644667,0.2680556526735158,10.499020162995654,4.768052467063235,7.262692130374227,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,66,0,lower
51,H52,H,1,0.0617653513725256,0.2509464605445622,0.2694240841286282,1.1326149670474095,4.771258197690398,7.299768372792091,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,67,0,lower
84,H85,H,1,0.6929473023694392,0.2780657305826418,0.2708776709341678,12.994632993328509,5.273466261684981,7.339151811820948,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,68,0,lower
48,H49,H,1,0.1927745100705237,0.2788294991683553,0.2710512243696585,3.627992268488759,5.287674404372564,7.343854063601749,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,69,0,lower
5,C6,C,6,0.1176312856532749,0.4385222502071793,0.276866972443114,2.465252772077636,8.243613508124751,7.501425774341865,L80_D1.2_U140,r80/t1.2/t1.2_140.cif,70,0,lower
