atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
51,H52,H,1,0.0430794978103581,0.3210673253486087,0.1100064124217421,1.1650643462491523,5.908862719193219,3.0161911341386967,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,0,0,lower
87,H88,H,1,0.5403388178276893,0.3243835967476752,0.1101182833446073,10.468035686945342,5.969596659719141,3.019258447018789,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,1,0,lower
139,O140,O,8,0.628608593742113,0.2025187812548055,0.1107591004069231,11.91213268821213,3.7391565418906745,3.0368285749723456,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,2,0,lower
121,O122,O,8,0.132498086110901,0.2002406770809589,0.1129182959702631,2.6286481073341608,3.6980862104768506,3.0960300921534523,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,3,0,lower
100,H101,H,1,0.8566649365271931,0.3464936833674264,0.1134864266142705,16.414278383690036,6.375282183509772,3.111607280553325,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,4,0,lower
64,H65,H,1,0.3564151940770203,0.3449236137026684,0.1144666111680374,7.056535318364656,6.346828696560365,3.138482295343892,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,5,0,lower
97,H98,H,1,0.7621429762183676,0.4568162539222735,0.1148074915520046,14.830604690167686,8.395022729356146,3.1478286631536325,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,6,0,lower
61,H62,H,1,0.2613479827454042,0.4528719575492169,0.1148262914819651,5.460251420627182,8.322831378144272,3.148344125669144,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,7,0,lower
84,H85,H,1,0.6770212372054966,0.2997616999708851,0.114859412911094,12.974384673112262,5.520294510841961,3.149252259646876,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,8,0,lower
48,H49,H,1,0.1798174107817068,0.2978674370464299,0.1177135622851197,3.669959111810986,5.486452283739025,3.2275082435293423,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,9,0,lower
145,O146,O,8,0.8963111150403478,0.3743278616254776,0.125116772951225,17.183291100338586,6.888146411241034,3.430491850427285,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,10,0,lower
127,O128,O,8,0.39541905951064,0.3736893273437752,0.125939269713857,7.81536731212198,6.87669795992909,3.4530433307337014,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,11,0,lower
24,C25,C,6,0.6427819952822268,0.2686251810115191,0.1364450026230543,12.246175059006116,4.956649796854515,3.741092888580088,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,12,0,lower
0,C1,C,6,0.1448534625566475,0.2667283889682925,0.1386762127772471,2.929221385943718,4.922579999805433,3.8022689249340047,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,13,0,lower
89,H90,H,1,0.5869317003899311,0.1109349598159292,0.139111641386567,10.931882450539096,2.0710471457461788,3.8142076463418624,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,14,0,lower
53,H54,H,1,0.0885808927470751,0.1095365896909621,0.1406810741753899,1.6089632667359408,2.0459079380445244,3.857238858423628,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,15,0,lower
90,H91,H,1,0.6835763507275057,0.1081044087658522,0.1428239355889446,12.728023136190828,2.0203167228400787,3.915992520641724,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,16,0,lower
27,C28,C,6,0.5713642290134379,0.3126975195931138,0.1451074225952199,10.970799227657343,5.765875372144398,3.978601900509904,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,17,0,lower
3,C4,C,6,0.0727849096031417,0.3106636374042138,0.1456031108397187,1.6443061328952056,5.7287912217275565,3.99219283994189,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,18,0,lower
29,C30,C,6,0.633019208684133,0.1432891299968088,0.1459955447647181,11.836767585794211,2.6652645629700635,4.002952719291293,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,19,0,lower
54,H55,H,1,0.1852285492707152,0.1058313338369966,0.1462777806142242,3.4005817060558106,1.9797151931107624,4.010691152426924,L240_D9.6_U260,r240/t9.6/t9.6_260.cif,20,0,lower
