structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation
L20_D3.6_U280,r20/t3.6/t3.6_280.cif,20.0,3.6,280.0
L20_D3.6_U300,r20/t3.6/t3.6_300.cif,20.0,3.6,300.0
L20_D3.6_U320,r20/t3.6/t3.6_320.cif,20.0,3.6,320.0
L20_D3.6_U340,r20/t3.6/t3.6_340.cif,20.0,3.6,340.0
L20_D4.8_U0,r20/t4.8/t4.8_0.cif,20.0,4.8,0.0
L20_D4.8_U20,r20/t4.8/t4.8_20.cif,20.0,4.8,20.0
L20_D4.8_U40,r20/t4.8/t4.8_40.cif,20.0,4.8,40.0
L20_D4.8_U60,r20/t4.8/t4.8_60.cif,20.0,4.8,60.0
L20_D4.8_U80,r20/t4.8/t4.8_80.cif,20.0,4.8,80.0
L20_D4.8_U100,r20/t4.8/t4.8_100.cif,20.0,4.8,100.0
L20_D4.8_U120,r20/t4.8/t4.8_120.cif,20.0,4.8,120.0
L20_D4.8_U140,r20/t4.8/t4.8_140.cif,20.0,4.8,140.0
L20_D4.8_U160,r20/t4.8/t4.8_160.cif,20.0,4.8,160.0
L20_D4.8_U180,r20/t4.8/t4.8_180.cif,20.0,4.8,180.0
L20_D4.8_U200,r20/t4.8/t4.8_200.cif,20.0,4.8,200.0
L20_D4.8_U220,r20/t4.8/t4.8_220.cif,20.0,4.8,220.0
L20_D4.8_U240,r20/t4.8/t4.8_240.cif,20.0,4.8,240.0
L20_D4.8_U260,r20/t4.8/t4.8_260.cif,20.0,4.8,260.0
L20_D4.8_U280,r20/t4.8/t4.8_280.cif,20.0,4.8,280.0
L20_D4.8_U300,r20/t4.8/t4.8_300.cif,20.0,4.8,300.0
L20_D4.8_U320,r20/t4.8/t4.8_320.cif,20.0,4.8,320.0
L20_D4.8_U340,r20/t4.8/t4.8_340.cif,20.0,4.8,340.0
L20_D6_U0,r20/t6.0/t6.0_0.cif,20.0,6.0,0.0
L20_D6_U20,r20/t6.0/t6.0_20.cif,20.0,6.0,20.0
L20_D6_U40,r20/t6.0/t6.0_40.cif,20.0,6.0,40.0
L20_D6_U60,r20/t6.0/t6.0_60.cif,20.0,6.0,60.0
L20_D6_U80,r20/t6.0/t6.0_80.cif,20.0,6.0,80.0
L20_D6_U100,r20/t6.0/t6.0_100.cif,20.0,6.0,100.0
L20_D6_U120,r20/t6.0/t6.0_120.cif,20.0,6.0,120.0
L20_D6_U140,r20/t6.0/t6.0_140.cif,20.0,6.0,140.0
L20_D6_U160,r20/t6.0/t6.0_160.cif,20.0,6.0,160.0
L20_D6_U180,r20/t6.0/t6.0_180.cif,20.0,6.0,180.0
L20_D6_U200,r20/t6.0/t6.0_200.cif,20.0,6.0,200.0
L20_D6_U220,r20/t6.0/t6.0_220.cif,20.0,6.0,220.0
L20_D6_U240,r20/t6.0/t6.0_240.cif,20.0,6.0,240.0
L20_D6_U260,r20/t6.0/t6.0_260.cif,20.0,6.0,260.0
L20_D6_U280,r20/t6.0/t6.0_280.cif,20.0,6.0,280.0
L20_D6_U300,r20/t6.0/t6.0_300.cif,20.0,6.0,300.0
L20_D6_U320,r20/t6.0/t6.0_320.cif,20.0,6.0,320.0
L20_D6_U340,r20/t6.0/t6.0_340.cif,20.0,6.0,340.0
L20_D7.2_U0,r20/t7.2/t7.2_0.cif,20.0,7.2,0.0
L20_D7.2_U20,r20/t7.2/t7.2_20.cif,20.0,7.2,20.0
L20_D7.2_U40,r20/t7.2/t7.2_40.cif,20.0,7.2,40.0
L20_D7.2_U60,r20/t7.2/t7.2_60.cif,20.0,7.2,60.0
L20_D7.2_U80,r20/t7.2/t7.2_80.cif,20.0,7.2,80.0
L20_D7.2_U100,r20/t7.2/t7.2_100.cif,20.0,7.2,100.0
L20_D7.2_U120,r20/t7.2/t7.2_120.cif,20.0,7.2,120.0
L20_D7.2_U140,r20/t7.2/t7.2_140.cif,20.0,7.2,140.0
L20_D7.2_U160,r20/t7.2/t7.2_160.cif,20.0,7.2,160.0
L20_D7.2_U180,r20/t7.2/t7.2_180.cif,20.0,7.2,180.0
L20_D7.2_U200,r20/t7.2/t7.2_200.cif,20.0,7.2,200.0
L20_D7.2_U220,r20/t7.2/t7.2_220.cif,20.0,7.2,220.0
L20_D7.2_U240,r20/t7.2/t7.2_240.cif,20.0,7.2,240.0
L20_D7.2_U260,r20/t7.2/t7.2_260.cif,20.0,7.2,260.0
L20_D7.2_U280,r20/t7.2/t7.2_280.cif,20.0,7.2,280.0
L20_D7.2_U300,r20/t7.2/t7.2_300.cif,20.0,7.2,300.0
L20_D7.2_U320,r20/t7.2/t7.2_320.cif,20.0,7.2,320.0
L20_D7.2_U340,r20/t7.2/t7.2_340.cif,20.0,7.2,340.0
L20_D8.4_U0,r20/t8.4/t8.4_0.cif,20.0,8.4,0.0
L20_D8.4_U20,r20/t8.4/t8.4_20.cif,20.0,8.4,20.0
L20_D8.4_U40,r20/t8.4/t8.4_40.cif,20.0,8.4,40.0
L20_D8.4_U60,r20/t8.4/t8.4_60.cif,20.0,8.4,60.0
L20_D8.4_U80,r20/t8.4/t8.4_80.cif,20.0,8.4,80.0
L20_D8.4_U100,r20/t8.4/t8.4_100.cif,20.0,8.4,100.0
L20_D8.4_U120,r20/t8.4/t8.4_120.cif,20.0,8.4,120.0
L20_D8.4_U140,r20/t8.4/t8.4_140.cif,20.0,8.4,140.0
L20_D8.4_U160,r20/t8.4/t8.4_160.cif,20.0,8.4,160.0
L20_D8.4_U180,r20/t8.4/t8.4_180.cif,20.0,8.4,180.0
L20_D8.4_U200,r20/t8.4/t8.4_200.cif,20.0,8.4,200.0
L20_D8.4_U220,r20/t8.4/t8.4_220.cif,20.0,8.4,220.0
L20_D8.4_U240,r20/t8.4/t8.4_240.cif,20.0,8.4,240.0
L20_D8.4_U260,r20/t8.4/t8.4_260.cif,20.0,8.4,260.0
L20_D8.4_U280,r20/t8.4/t8.4_280.cif,20.0,8.4,280.0
L20_D8.4_U300,r20/t8.4/t8.4_300.cif,20.0,8.4,300.0
L20_D8.4_U320,r20/t8.4/t8.4_320.cif,20.0,8.4,320.0
L20_D8.4_U340,r20/t8.4/t8.4_340.cif,20.0,8.4,340.0
L20_D9.6_U0,r20/t9.6/t9.6_0.cif,20.0,9.6,0.0
L20_D9.6_U20,r20/t9.6/t9.6_20.cif,20.0,9.6,20.0
L20_D9.6_U40,r20/t9.6/t9.6_40.cif,20.0,9.6,40.0
L20_D9.6_U60,r20/t9.6/t9.6_60.cif,20.0,9.6,60.0
L20_D9.6_U80,r20/t9.6/t9.6_80.cif,20.0,9.6,80.0
L20_D9.6_U100,r20/t9.6/t9.6_100.cif,20.0,9.6,100.0
L20_D9.6_U120,r20/t9.6/t9.6_120.cif,20.0,9.6,120.0
L20_D9.6_U140,r20/t9.6/t9.6_140.cif,20.0,9.6,140.0
