structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy
L0_D3.6_U80,r0/t3.6/t3.6_80.cif,0.0,3.6,80.0,-936.34376,0.2960400000000618
L0_D3.6_U100,r0/t3.6/t3.6_100.cif,0.0,3.6,100.0,-936.52617,0.11363000000005741
L0_D3.6_U120,r0/t3.6/t3.6_120.cif,0.0,3.6,120.0,-936.34167,0.29813000000001466
L0_D3.6_U140,r0/t3.6/t3.6_140.cif,0.0,3.6,140.0,-936.26287,0.37693000000001575
L0_D3.6_U160,r0/t3.6/t3.6_160.cif,0.0,3.6,160.0,-936.11828,0.5215200000000095
L0_D3.6_U180,r0/t3.6/t3.6_180.cif,0.0,3.6,180.0,-936.16428,0.4755200000000741
L0_D3.6_U200,r0/t3.6/t3.6_200.cif,0.0,3.6,200.0,-936.27906,0.360740000000078
L0_D3.6_U220,r0/t3.6/t3.6_220.cif,0.0,3.6,220.0,-936.64556,-0.005760000000009313
L0_D3.6_U240,r0/t3.6/t3.6_240.cif,0.0,3.6,240.0,-936.71331,-0.07350999999994201
L0_D3.6_U260,r0/t3.6/t3.6_260.cif,0.0,3.6,260.0,-936.52649,0.11331000000006952
L0_D3.6_U280,r0/t3.6/t3.6_280.cif,0.0,3.6,280.0,-936.43235,0.20744999999999436
L0_D3.6_U300,r0/t3.6/t3.6_300.cif,0.0,3.6,300.0,-936.38418,0.2556200000000217
L0_D3.6_U320,r0/t3.6/t3.6_320.cif,0.0,3.6,320.0,-936.57345,0.06635000000005675
L0_D3.6_U340,r0/t3.6/t3.6_340.cif,0.0,3.6,340.0,-936.51674,0.1230600000000095
L0_D4.8_U0,r0/t4.8/t4.8_0.cif,0.0,4.8,0.0,-936.74559,-0.10578999999995631
L0_D4.8_U20,r0/t4.8/t4.8_20.cif,0.0,4.8,20.0,-936.09707,0.5427300000000059
L0_D4.8_U40,r0/t4.8/t4.8_40.cif,0.0,4.8,40.0,-936.01694,0.6228600000000597
L0_D4.8_U60,r0/t4.8/t4.8_60.cif,0.0,4.8,60.0,-936.35984,0.2799600000000737
L0_D4.8_U80,r0/t4.8/t4.8_80.cif,0.0,4.8,80.0,-936.49024,0.14956000000006497
L0_D4.8_U100,r0/t4.8/t4.8_100.cif,0.0,4.8,100.0,-936.76952,-0.12972000000002026
L0_D4.8_U120,r0/t4.8/t4.8_120.cif,0.0,4.8,120.0,-936.64234,-0.0025399999999535794
L0_D4.8_U140,r0/t4.8/t4.8_140.cif,0.0,4.8,140.0,-936.38432,0.2554800000000341
L0_D4.8_U160,r0/t4.8/t4.8_160.cif,0.0,4.8,160.0,-936.09261,0.5471900000000005
L0_D4.8_U180,r0/t4.8/t4.8_180.cif,0.0,4.8,180.0,-936.1725,0.4673000000000229
L0_D4.8_U200,r0/t4.8/t4.8_200.cif,0.0,4.8,200.0,-936.26775,0.3720500000000584
L0_D4.8_U220,r0/t4.8/t4.8_220.cif,0.0,4.8,220.0,-936.62762,0.01218000000005759
L0_D4.8_U240,r0/t4.8/t4.8_240.cif,0.0,4.8,240.0,-936.56441,0.075390000000084
L0_D4.8_U260,r0/t4.8/t4.8_260.cif,0.0,4.8,260.0,-936.51143,0.12837000000001808
L0_D4.8_U280,r0/t4.8/t4.8_280.cif,0.0,4.8,280.0,-936.45536,0.18443999999999505
L0_D4.8_U300,r0/t4.8/t4.8_300.cif,0.0,4.8,300.0,-936.42363,0.21617000000003372
L0_D4.8_U320,r0/t4.8/t4.8_320.cif,0.0,4.8,320.0,-936.71757,-0.0777699999999868
L0_D4.8_U340,r0/t4.8/t4.8_340.cif,0.0,4.8,340.0,-936.53803,0.1017699999999877
L0_D6_U0,r0/t6.0/t6.0_0.cif,0.0,6.0,0.0,-936.04947,0.5903299999999945
L0_D6_U20,r0/t6.0/t6.0_20.cif,0.0,6.0,20.0,-936.1078,0.5320000000000391
L0_D6_U40,r0/t6.0/t6.0_40.cif,0.0,6.0,40.0,-936.06455,0.5752499999999827
L0_D6_U60,r0/t6.0/t6.0_60.cif,0.0,6.0,60.0,-936.16251,0.47729000000003907
L0_D6_U80,r0/t6.0/t6.0_80.cif,0.0,6.0,80.0,-936.6169,0.02290000000004966
L0_D6_U100,r0/t6.0/t6.0_100.cif,0.0,6.0,100.0,-936.78068,-0.14087999999992462
L0_D6_U120,r0/t6.0/t6.0_120.cif,0.0,6.0,120.0,-936.57268,0.06712000000004537
L0_D6_U140,r0/t6.0/t6.0_140.cif,0.0,6.0,140.0,-936.63512,0.004680000000007567
L0_D6_U160,r0/t6.0/t6.0_160.cif,0.0,6.0,160.0,-936.20636,0.4334400000000187
L0_D6_U180,r0/t6.0/t6.0_180.cif,0.0,6.0,180.0,-936.17177,0.46802999999999884
L0_D6_U200,r0/t6.0/t6.0_200.cif,0.0,6.0,200.0,-936.25043,0.38936999999998534
L0_D6_U220,r0/t6.0/t6.0_220.cif,0.0,6.0,220.0,-936.42779,0.21201000000007753
L0_D6_U240,r0/t6.0/t6.0_240.cif,0.0,6.0,240.0,-936.5038,0.13600000000008095
L0_D6_U260,r0/t6.0/t6.0_260.cif,0.0,6.0,260.0,-936.44579,0.19401000000004842
L0_D6_U280,r0/t6.0/t6.0_280.cif,0.0,6.0,280.0,-936.43376,0.20604000000002998
L0_D6_U300,r0/t6.0/t6.0_300.cif,0.0,6.0,300.0,-936.41368,0.22612000000003718
L0_D6_U320,r0/t6.0/t6.0_320.cif,0.0,6.0,320.0,-936.31414,0.32566000000008444
L0_D6_U340,r0/t6.0/t6.0_340.cif,0.0,6.0,340.0,-936.0436,0.5962000000000671
L0_D7.2_U0,r0/t7.2/t7.2_0.cif,0.0,7.2,0.0,-936.34825,0.2915500000000293
L0_D7.2_U20,r0/t7.2/t7.2_20.cif,0.0,7.2,20.0,-936.14967,0.49013000000002194
L0_D7.2_U40,r0/t7.2/t7.2_40.cif,0.0,7.2,40.0,-936.08702,0.5527799999999843
L0_D7.2_U60,r0/t7.2/t7.2_60.cif,0.0,7.2,60.0,-936.11624,0.5235600000000886
L0_D7.2_U80,r0/t7.2/t7.2_80.cif,0.0,7.2,80.0,-936.26654,0.373260000000073
L0_D7.2_U100,r0/t7.2/t7.2_100.cif,0.0,7.2,100.0,-936.67127,-0.03147000000001299
L0_D7.2_U120,r0/t7.2/t7.2_120.cif,0.0,7.2,120.0,-936.38506,0.25474000000008346
L0_D7.2_U140,r0/t7.2/t7.2_140.cif,0.0,7.2,140.0,-936.30435,0.3354500000000371
L0_D7.2_U160,r0/t7.2/t7.2_160.cif,0.0,7.2,160.0,-936.23679,0.40300999999999476
L0_D7.2_U180,r0/t7.2/t7.2_180.cif,0.0,7.2,180.0,-936.10144,0.5383600000000115
L0_D7.2_U200,r0/t7.2/t7.2_200.cif,0.0,7.2,200.0,-936.16971,0.47009000000002743
L0_D7.2_U220,r0/t7.2/t7.2_220.cif,0.0,7.2,220.0,-936.24581,0.3939900000000307
L0_D7.2_U240,r0/t7.2/t7.2_240.cif,0.0,7.2,240.0,-936.28352,0.3562800000000834
L0_D7.2_U260,r0/t7.2/t7.2_260.cif,0.0,7.2,260.0,-936.2553,0.38450000000000273
L0_D7.2_U280,r0/t7.2/t7.2_280.cif,0.0,7.2,280.0,-936.28938,0.3504199999999855
L0_D7.2_U300,r0/t7.2/t7.2_300.cif,0.0,7.2,300.0,-936.29912,0.3406800000000203
L0_D7.2_U320,r0/t7.2/t7.2_320.cif,0.0,7.2,320.0,-936.1745,0.4653000000000702
L0_D7.2_U340,r0/t7.2/t7.2_340.cif,0.0,7.2,340.0,-936.09507,0.5447300000000723
L0_D8.4_U0,r0/t8.4/t8.4_0.cif,0.0,8.4,0.0,-936.46397,0.17583000000001903
L0_D8.4_U20,r0/t8.4/t8.4_20.cif,0.0,8.4,20.0,-936.28458,0.3552200000000312
L0_D8.4_U40,r0/t8.4/t8.4_40.cif,0.0,8.4,40.0,-936.18749,0.4523100000000113
L0_D8.4_U60,r0/t8.4/t8.4_60.cif,0.0,8.4,60.0,-936.16609,0.47370999999998276
L0_D8.4_U80,r0/t8.4/t8.4_80.cif,0.0,8.4,80.0,-936.10659,0.5332100000000537
L0_D8.4_U100,r0/t8.4/t8.4_100.cif,0.0,8.4,100.0,-936.30466,0.335140000000024
L0_D8.4_U120,r0/t8.4/t8.4_120.cif,0.0,8.4,120.0,-936.26751,0.3722900000000209
L0_D8.4_U140,r0/t8.4/t8.4_140.cif,0.0,8.4,140.0,-936.22137,0.4184300000000576
L0_D8.4_U160,r0/t8.4/t8.4_160.cif,0.0,8.4,160.0,-936.16544,0.47436000000004697
L0_D8.4_U180,r0/t8.4/t8.4_180.cif,0.0,8.4,180.0,-936.05244,0.5873599999999897
L0_D8.4_U200,r0/t8.4/t8.4_200.cif,0.0,8.4,200.0,-935.9815,0.6583000000000538
L0_D8.4_U220,r0/t8.4/t8.4_220.cif,0.0,8.4,220.0,-936.01545,0.6243500000000495
L0_D8.4_U240,r0/t8.4/t8.4_240.cif,0.0,8.4,240.0,-936.14533,0.4944700000000921
L0_D8.4_U260,r0/t8.4/t8.4_260.cif,0.0,8.4,260.0,-936.14315,0.4966500000000451
L0_D8.4_U280,r0/t8.4/t8.4_280.cif,0.0,8.4,280.0,-936.25424,0.38556000000005497
L0_D8.4_U300,r0/t8.4/t8.4_300.cif,0.0,8.4,300.0,-936.311,0.3288000000000011
L0_D8.4_U320,r0/t8.4/t8.4_320.cif,0.0,8.4,320.0,-936.31855,0.3212500000000773
L0_D8.4_U340,r0/t8.4/t8.4_340.cif,0.0,8.4,340.0,-936.42362,0.21618000000000848
L0_D9.6_U0,r0/t9.6/t9.6_0.cif,0.0,9.6,0.0,-936.48177,0.1580300000000534
L0_D9.6_U20,r0/t9.6/t9.6_20.cif,0.0,9.6,20.0,-936.27676,0.3630400000000691
L0_D9.6_U40,r0/t9.6/t9.6_40.cif,0.0,9.6,40.0,-936.17361,0.46618999999998323
L0_D9.6_U60,r0/t9.6/t9.6_60.cif,0.0,9.6,60.0,-936.11863,0.5211699999999837
L0_D9.6_U80,r0/t9.6/t9.6_80.cif,0.0,9.6,80.0,-936.05685,0.5829499999999825
L0_D9.6_U100,r0/t9.6/t9.6_100.cif,0.0,9.6,100.0,-936.16581,0.47399000000007163
L0_D9.6_U120,r0/t9.6/t9.6_120.cif,0.0,9.6,120.0,-936.2399,0.39990000000000236
L0_D9.6_U140,r0/t9.6/t9.6_140.cif,0.0,9.6,140.0,-936.18366,0.4561400000000049
L0_D9.6_U160,r0/t9.6/t9.6_160.cif,0.0,9.6,160.0,-936.10854,0.5312600000000884
L0_D9.6_U180,r0/t9.6/t9.6_180.cif,0.0,9.6,180.0,-936.0506,0.5892000000000053
L0_D9.6_U200,r0/t9.6/t9.6_200.cif,0.0,9.6,200.0,-936.01151,0.6282899999999927
L0_D9.6_U220,r0/t9.6/t9.6_220.cif,0.0,9.6,220.0,-936.11784,0.5219600000000355
L0_D9.6_U240,r0/t9.6/t9.6_240.cif,0.0,9.6,240.0,-936.37176,0.2680400000000418
L0_D9.6_U260,r0/t9.6/t9.6_260.cif,0.0,9.6,260.0,-936.1602,0.4796000000000049
L0_D9.6_U280,r0/t9.6/t9.6_280.cif,0.0,9.6,280.0,-936.17682,0.46298000000001593
L0_D9.6_U300,r0/t9.6/t9.6_300.cif,0.0,9.6,300.0,-936.28518,0.3546200000000681
L0_D9.6_U320,r0/t9.6/t9.6_320.cif,0.0,9.6,320.0,-936.39369,0.24611000000004424
L0_D9.6_U340,r0/t9.6/t9.6_340.cif,0.0,9.6,340.0,-936.48571,0.1540899999999965
L20_D0_U0,r20/t0/t0_0.cif,20.0,0.0,0.0,-936.53486,0.10494000000005599
L20_D0_U20,r20/t0/t0_20.cif,20.0,0.0,20.0,-936.4828,0.1570000000000391
L20_D0_U40,r20/t0/t0_40.cif,20.0,0.0,40.0,-936.22738,0.41241999999999734
L20_D0_U60,r20/t0/t0_60.cif,20.0,0.0,60.0,-936.22799,0.4118100000000595
L20_D0_U80,r20/t0/t0_80.cif,20.0,0.0,80.0,-936.232,0.40780000000006567
